year_month,count
2011-02,198
2011-03,347
2011-04,223
2011-05,250
2011-06,285
2011-07,296
2011-08,271
2011-09,260
2011-10,308
2011-11,343
2011-12,276
2012-01,297
2012-02,383
2012-03,374
2012-04,382
2012-05,431
2012-06,375
2012-07,435
2012-08,422
2012-09,352
2012-10,502
2012-11,498
2012-12,390
2013-01,577
2013-02,597
2013-03,638
2013-04,509
2013-05,490
2013-06,459
2013-07,483
2013-08,343
2013-09,395
2013-10,366
2013-11,347
2013-12,311
2014-01,380
2014-02,350
2014-03,444
2014-04,406
2014-05,390
2014-06,401
2014-07,473
2014-08,469
2014-09,417
2014-10,447
2014-11,393
2014-12,343
2015-01,369
2015-02,371
2015-03,410
2015-04,377
2015-05,346
2015-06,347
2015-07,379
2015-08,298
2015-09,258
2015-10,244
2015-11,339
2015-12,298
2016-01,396
2016-02,442
2016-03,455
2016-04,344
2016-05,352
2016-06,437
2016-07,391
2016-08,333
2016-09,317
2016-10,335
2016-11,349
2016-12,333
2017-01,353
2017-02,389
2017-03,438
2017-04,377
2017-05,394
2017-06,367
2017-07,336
2017-08,345
2017-09,308
2017-10,374
2017-11,327
2017-12,239
2018-01,368
2018-02,323
2018-03,413
2018-04,337
2018-05,284
2018-06,293
2018-07,407
2018-08,351
2018-09,226
2018-10,256
2018-11,215
2018-12,191
2019-01,277
2019-02,287
2019-03,361
2019-04,277
2019-05,227
2019-06,289
2019-07,382
2019-08,272
2019-09,219
2019-10,202
2019-11,244
2019-12,210
2020-01,239
2020-02,246
2020-03,250
2020-04,329
2020-05,276
2020-06,298
2020-07,246
2020-08,216
2020-09,172
2020-10,209
2020-11,199
2020-12,178
2021-01,180
2021-02,208
2021-03,203
2021-04,212
2021-05,167
2021-06,223
2021-07,223
2021-08,211
2021-09,227
2021-10,218
2021-11,205
2021-12,187
2022-01,183
2022-02,127
2022-03,141
2022-04,148
2022-05,179
2022-06,151
2022-07,146
2022-08,110
2022-09,115
2022-10,141
2022-11,171
2022-12,137
2023-01,128
2023-02,132
2023-03,124
2023-04,121
2023-05,107
2023-06,94
2023-07,105
2023-08,229
2023-09,238
2023-10,261
2023-11,252
2023-12,197
2024-01,226
2024-02,229
2024-03,233
2024-04,209
2024-05,225
2024-06,173
2024-07,132
2024-08,113
2024-09,98
2024-10,165
2024-11,177
2024-12,154
2025-01,189
2025-02,193
2025-03,193
2025-04,140
2025-05,119
2025-06,122
2025-07,121
2025-08,104
2025-09,88
2025-10,85
