Package,Description,Dependencies,Other Packages Used,Authors,Maintainers,Org,Repository,GitHub Repository,Last Commit,17/04/2026,Commit Year
ackermann_msgs,ROS2 messages for robots using Ackermann steering.,5,3,Jack O'Quin,Vincent Rousseau,ros-drivers,ackermann_msgs,https://github.com/ros-drivers/ackermann_msgs/,2025-05-02,,2025
ackermann_nlmpc_msgs,Message definitions for ackermann_nlmpc,4,1,,Jasper Pflughaupt,public-projects,ackermann_nlmpc,https://github.com/public-projects/ackermann_nlmpc/,2025-09-18,,2025
ackermann_nlmpc,Lightweight non-linear MPC controller for autonomous driving in 2D environments,6,0,Georg Schildbach,Jasper Pflughaupt,public-projects,ackermann_nlmpc,https://github.com/public-projects/ackermann_nlmpc/,2025-09-18,,2025
ackermann_steering_controller,Steering controller for Ackermann kinematics. Rear fixed wheels are powering the vehicle and front wheels are steering it.,16,2,"Dr.-Ing. Denis Štogl, dr. sc. Tomislav Petkovic","Bence Magyar, Denis Štogl, Christoph Froehlich, Sai Kishor Kothakota",ros-controls,ros2_controllers,https://github.com/ros-controls/ros2_controllers/,2026-04-15,,2026
action_msgs,Messages and service definitions common among all ROS actions.,8,57,"Chris Lalancette, Jacob Perron, Karsten Knese, Michel Hidalgo",Geoffrey Biggs,ros2,rcl_interfaces,https://github.com/ros2/rcl_interfaces/,2026-04-14,,2026
action_tutorials_cpp,C++ action tutorial cpp code,7,1,"Jacob Perron, Mabel Zhang","Aditya Pande, Audrow Nash",ros2,demos,https://github.com/ros2/demos/,2026-03-24,,2026
action_tutorials_py,Python action tutorial code,6,1,"Jacob Perron, Mabel Zhang","Aditya Pande, Audrow Nash",ros2,demos,https://github.com/ros2/demos/,2026-03-24,,2026
actionlib_msgs,A package containing some message definitions used in the implementation of ROS 1 actions.,6,3,"Geoffrey Biggs, Michael Carroll, Michel Hidalgo, William Woodall",Tully Foote,ros2,common_interfaces,https://github.com/ros2/common_interfaces/,2026-02-26,,2026
adi_iio,ROS package to interface with IIO devices,22,0,"Adrian Suciu, Adrian Stanea",Analog Devices,analogdevicesinc,adi_iio,https://github.com/analogdevicesinc/adi_iio/,2025-07-30,,2025
admittance_controller,Implementation of admittance controllers for different input and output interface.,26,1,"Denis Štogl, Andy Zelenak, Paul Gesel","Bence Magyar, Denis Štogl, Christoph Froehlich, Sai Kishor Kothakota",ros-controls,ros2_controllers,https://github.com/ros-controls/ros2_controllers/,2026-04-15,,2026
ads_vendor,Package vendoring Beckhoff/ADS library,1,1,Nikola Banovic,Nikola Banovic,b-robotized,ads_vendor,https://github.com/b-robotized/ads_vendor/,2025-09-23,,2025
ament_clang_format,The ability to check code against style conventions using clang-format and generate xUnit test result files.,4,4,"Audrow Nash, Brandon Ong, Claire Wang, Dirk Thomas, Michel Hidalgo",Chris Lalancette,ament,ament_lint,https://github.com/ament/ament_lint/,2026-04-08,,2026
ament_clang_tidy,The ability to check code against style conventions using clang-tidy and generate xUnit test result files.,4,4,"Audrow Nash, Brandon Ong, Claire Wang, Michel Hidalgo",Chris Lalancette,ament,ament_lint,https://github.com/ament/ament_lint/,2026-04-08,,2026
ament_cmake_auto,The auto-magic functions for ease to use of the ament buildsystem in CMake.,3,85,"Dirk Thomas, Michel Hidalgo",Chris Lalancette,ament,ament_cmake,https://github.com/ament/ament_cmake/,2026-02-23,,2026
ament_cmake_clang_format,The CMake API for ament_clang_format to lint C / C++ code using clang format.,5,27,"Audrow Nash, Brandon Ong, Claire Wang, Dirk Thomas, Michel Hidalgo",Chris Lalancette,ament,ament_lint,https://github.com/ament/ament_lint/,2026-04-08,,2026
ament_cmake_clang_tidy,The CMake API for ament_clang_tidy to lint C / C++ code using clang tidy.,5,2,"Audrow Nash, Brandon Ong, Claire Wang, Michel Hidalgo",Chris Lalancette,ament,ament_lint,https://github.com/ament/ament_lint/,2026-04-08,,2026
ament_cmake_copyright,The CMake API for ament_copyright to check every source file contains copyright reference.,4,69,"Audrow Nash, Brandon Ong, Claire Wang, Dirk Thomas, Michel Hidalgo",Chris Lalancette,ament,ament_lint,https://github.com/ament/ament_lint/,2026-04-08,,2026
ament_cmake_core,The core of the ament buildsystem in CMake. Several subcomponents provide specific funtionalities: * environment: provide prefix-level setup files * environment_hooks: provide package-level setup files and environment hooks * index: store information in an index and retrieve them without crawling * package_templates: templates from the ament_package Python package * symlink_install: use symlinks for CMake install commands,1,95,"Dirk Thomas, Michel Hidalgo",Chris Lalancette,ament,ament_cmake,https://github.com/ament/ament_cmake/,2026-02-23,,2026
ament_cmake_cppcheck,The CMake API for ament_cppcheck to perform static code analysis on C/C++ code using Cppcheck.,5,36,"Audrow Nash, Brandon Ong, Claire Wang, Dirk Thomas, Michel Hidalgo",Chris Lalancette,ament,ament_lint,https://github.com/ament/ament_lint/,2026-04-08,,2026
ament_cmake_cpplint,The CMake API for ament_cpplint to lint C / C++ code using cpplint.,5,22,"Audrow Nash, Brandon Ong, Claire Wang, Dirk Thomas, Michel Hidalgo",Chris Lalancette,ament,ament_lint,https://github.com/ament/ament_lint/,2026-04-08,,2026
ament_cmake_export_definitions,The ability to export definitions to downstream packages in the ament buildsystem.,1,1,"Dirk Thomas, Michel Hidalgo",Chris Lalancette,ament,ament_cmake,https://github.com/ament/ament_cmake/,2026-02-23,,2026
ament_cmake_export_dependencies,The ability to export dependencies to downstream packages in the ament buildsystem in CMake.,2,8,"Dirk Thomas, Michel Hidalgo",Chris Lalancette,ament,ament_cmake,https://github.com/ament/ament_cmake/,2026-02-23,,2026
ament_cmake_export_include_directories,The ability to export include directories to downstream packages in the ament buildsystem in CMake.,1,1,"Dirk Thomas, Michel Hidalgo",Chris Lalancette,ament,ament_cmake,https://github.com/ament/ament_cmake/,2026-02-23,,2026
ament_cmake_export_interfaces,The ability to export interfaces to downstream packages in the ament buildsystem in CMake.,2,1,"Dirk Thomas, Michel Hidalgo",Chris Lalancette,ament,ament_cmake,https://github.com/ament/ament_cmake/,2026-02-23,,2026
ament_cmake_export_libraries,The ability to export libraries to downstream packages in the ament buildsystem in CMake.,1,3,"Dirk Thomas, Michel Hidalgo",Chris Lalancette,ament,ament_cmake,https://github.com/ament/ament_cmake/,2026-02-23,,2026
ament_cmake_export_link_flags,The ability to export link flags to downstream packages in the ament buildsystem.,1,1,"Dirk Thomas, Michel Hidalgo",Chris Lalancette,ament,ament_cmake,https://github.com/ament/ament_cmake/,2026-02-23,,2026
