repository,commit_sha,commit_date,commit_title,commit_message,author,additions,deletions,total_changes,dependencies
autowarefoundation/acado_vendor,da1f59caef03b78dd376a666e0437fcf03208a8b,2020-12-17T22:19:10Z,Create README.md,,Joshua Whitley,3,0,3,"package.xml: <?xml version=""1.0""?>
<?xml-model href=""http://download.ros.org/schema/package_format3.xsd"" schematypens=""http://www.w3.org/2001/XMLSchema""?>
<package format=""3"">
  <name>acado_vendor</name>
  <version>0.0.0</version>
  <description>A wrapper around the ACADO toolkit</description>
  <maintainer email=""whitleysoftwareservices@gmail.com"">Josh Whitley</maintainer>
  <license>LGPL</license>
  <author email=""christopherj.ho@gmail.com"">Christopher Ho</author>
  <author email=""whitleysoftwareservices@gmail.com"">Josh Whitley</author>

  <buildtool_depend>ament_cmake_auto</buildtool_depend>

  <test_depend>ament_lint_auto</test_depend>
  <test_depend>ament_lint_common</test_depend>

  <export>
    <build_type>ament_cmake</build_type>
  </export>
</package>


CMakeLists.txt: cmake_minimum_required(VERSION 3.5)
project(acado_vendor)

# Default to C99
if(NOT CMAKE_C_STANDARD)
  set(CMAKE_C_STANDARD 99)
endif()

# Default to C++14
if(NOT CMAKE_CXX_STANDARD)
  set(CMAKE_CXX_STANDARD 14)
endif()

if(CMAKE_COMPILER_IS_GNUCXX OR CMAKE_CXX_COMPILER_ID MATCHES ""Clang"")
  add_compile_options(-Wall -Wextra -Wpedantic)
endif()

# find dependencies
find_package(ament_cmake_auto REQUIRED)

list(APPEND extra_cmake_args -DCMAKE_BUILD_TYPE=${CMAKE_BUILD_TYPE})

if(DEFINED CMAKE_TOOLCHAIN_FILE)
  list(APPEND extra_cmake_args ""-DCMAKE_TOOLCHAIN_FILE=${CMAKE_TOOLCHAIN_FILE}"")
endif()

message(""extra_cmake_args: ${extra_cmake_args} ===="")

include(ExternalProject)

ExternalProject_Add(acado-1.2.2-beta
  GIT_REPOSITORY https://github.com/acado/acado.git
  GIT_TAG 5adb8cbcff5a5464706a48eaf073218ac87c9044
  GIT_SHALLOW 1
  TIMEOUT 600
  CMAKE_ARGS
    -DCMAKE_INSTALL_PREFIX=${CMAKE_CURRENT_BINARY_DIR}/acado_external_project_install
    -DCMAKE_C_FLAGS=""-w""
    -DCMAKE_CXX_FLAGS=""-w""
    ${extra_cmake_args}
    -Wno-dev
)
install(DIRECTORY ${CMAKE_CURRENT_BINARY_DIR}/acado_external_project_install/
  DESTINATION ${CMAKE_INSTALL_PREFIX})

ExternalProject_Add(hpmpc-cho3
  GIT_REPOSITORY https://github.com/gaif/hpmpc.git
  GIT_TAG 3cd096f4fa2ad19995ccc1d3930307f0d372e416
  GIT_SHALLOW 1
  TIMEOUT 600
  CMAKE_ARGS
    -DCMAKE_INSTALL_PREFIX=${CMAKE_CURRENT_BINARY_DIR}/hpmpc_external_project_install
    -DCMAKE_C_FLAGS=""-w""
    -DCMAKE_CXX_FLAGS=""-w""
    ${extra_cmake_args}
    -Wno-dev
)
install(DIRECTORY ${CMAKE_CURRENT_BINARY_DIR}/hpmpc_external_project_install/
  DESTINATION ${CMAKE_INSTALL_PREFIX})

ament_export_include_directories(include)
ament_export_libraries(
  acado_toolkit_s # For code generation
  hpmpc
)

# Install cmake helper functions
install(
  DIRECTORY cmake
  DESTINATION share/${PROJECT_NAME}
)

ament_auto_package(
  CONFIG_EXTRAS ""acado_vendor-extras.cmake""
)
"
autowarefoundation/acado_vendor,e5da42906b5b4a9d0ed2a08e0f7bb74487ff0869,2020-12-17T22:15:31Z,Initial commit.,,Joshua Whitley,282,0,282,"package.xml: <?xml version=""1.0""?>
<?xml-model href=""http://download.ros.org/schema/package_format3.xsd"" schematypens=""http://www.w3.org/2001/XMLSchema""?>
<package format=""3"">
  <name>acado_vendor</name>
  <version>0.0.0</version>
  <description>A wrapper around the ACADO toolkit</description>
  <maintainer email=""whitleysoftwareservices@gmail.com"">Josh Whitley</maintainer>
  <license>LGPL</license>
  <author email=""christopherj.ho@gmail.com"">Christopher Ho</author>
  <author email=""whitleysoftwareservices@gmail.com"">Josh Whitley</author>

  <buildtool_depend>ament_cmake_auto</buildtool_depend>

  <test_depend>ament_lint_auto</test_depend>
  <test_depend>ament_lint_common</test_depend>

  <export>
    <build_type>ament_cmake</build_type>
  </export>
</package>


CMakeLists.txt: cmake_minimum_required(VERSION 3.5)
project(acado_vendor)

# Default to C99
if(NOT CMAKE_C_STANDARD)
  set(CMAKE_C_STANDARD 99)
endif()

# Default to C++14
if(NOT CMAKE_CXX_STANDARD)
  set(CMAKE_CXX_STANDARD 14)
endif()

if(CMAKE_COMPILER_IS_GNUCXX OR CMAKE_CXX_COMPILER_ID MATCHES ""Clang"")
  add_compile_options(-Wall -Wextra -Wpedantic)
endif()

# find dependencies
find_package(ament_cmake_auto REQUIRED)

list(APPEND extra_cmake_args -DCMAKE_BUILD_TYPE=${CMAKE_BUILD_TYPE})

if(DEFINED CMAKE_TOOLCHAIN_FILE)
  list(APPEND extra_cmake_args ""-DCMAKE_TOOLCHAIN_FILE=${CMAKE_TOOLCHAIN_FILE}"")
endif()

message(""extra_cmake_args: ${extra_cmake_args} ===="")

include(ExternalProject)

ExternalProject_Add(acado-1.2.2-beta
  GIT_REPOSITORY https://github.com/acado/acado.git
  GIT_TAG 5adb8cbcff5a5464706a48eaf073218ac87c9044
  GIT_SHALLOW 1
  TIMEOUT 600
  CMAKE_ARGS
    -DCMAKE_INSTALL_PREFIX=${CMAKE_CURRENT_BINARY_DIR}/acado_external_project_install
    -DCMAKE_C_FLAGS=""-w""
    -DCMAKE_CXX_FLAGS=""-w""
    ${extra_cmake_args}
    -Wno-dev
)
install(DIRECTORY ${CMAKE_CURRENT_BINARY_DIR}/acado_external_project_install/
  DESTINATION ${CMAKE_INSTALL_PREFIX})

ExternalProject_Add(hpmpc-cho3
  GIT_REPOSITORY https://github.com/gaif/hpmpc.git
  GIT_TAG 3cd096f4fa2ad19995ccc1d3930307f0d372e416
  GIT_SHALLOW 1
  TIMEOUT 600
  CMAKE_ARGS
    -DCMAKE_INSTALL_PREFIX=${CMAKE_CURRENT_BINARY_DIR}/hpmpc_external_project_install
    -DCMAKE_C_FLAGS=""-w""
    -DCMAKE_CXX_FLAGS=""-w""
    ${extra_cmake_args}
    -Wno-dev
)
install(DIRECTORY ${CMAKE_CURRENT_BINARY_DIR}/hpmpc_external_project_install/
  DESTINATION ${CMAKE_INSTALL_PREFIX})

ament_export_include_directories(include)
ament_export_libraries(
  acado_toolkit_s # For code generation
  hpmpc
)

# Install cmake helper functions
install(
  DIRECTORY cmake
  DESTINATION share/${PROJECT_NAME}
)

ament_auto_package(
  CONFIG_EXTRAS ""acado_vendor-extras.cmake""
)
"
ros-drivers/ackermann_msgs,81a5f2d9ae1c1048216678b9dc3db6afc0cb815e,2025-05-02T07:02:14Z,Merge pull request #22 from mosfet80/patch-1,Update CMakeLists.txt,vincentrou,3,3,6,"package.xml: <?xml version=""1.0""?>
<?xml-model href=""http://download.ros.org/schema/package_format3.xsd"" schematypens=""http://www.w3.org/2001/XMLSchema""?>
<package format=""3"">
  <name>ackermann_msgs</name>
  <version>2.0.2</version>
  <description>ROS2 messages for robots using Ackermann steering.</description>

  <maintainer email=""vincentrou@gmail.com"">Vincent Rousseau</maintainer>
  <author>Jack O'Quin</author>
  <license>BSD</license>

  <buildtool_depend>ament_cmake</buildtool_depend>
  <buildtool_depend>rosidl_default_generators</buildtool_depend>

  <build_depend>std_msgs</build_depend>

  <exec_depend>rosidl_default_runtime</exec_depend>
  <exec_depend>std_msgs</exec_depend>

  <test_depend>ament_lint_common</test_depend>

  <member_of_group>rosidl_interface_packages</member_of_group>

  <export>
    <build_type>ament_cmake</build_type>
  </export>
</package>


CMakeLists.txt: cmake_minimum_required(VERSION 3.15)

project(ackermann_msgs)

# Default to C++17
if(NOT CMAKE_CXX_STANDARD)
  set(CMAKE_CXX_STANDARD 17)
endif()

if(CMAKE_COMPILER_IS_GNUCXX OR CMAKE_CXX_COMPILER_ID MATCHES ""Clang"")
  add_compile_options(-Wall -Wextra -Wpedantic)
endif()

find_package(ament_cmake REQUIRED)
find_package(rosidl_default_generators REQUIRED)

find_package(std_msgs REQUIRED)

rosidl_generate_interfaces(${PROJECT_NAME}
  ""msg/AckermannDrive.msg""
  ""msg/AckermannDriveStamped.msg""
  DEPENDENCIES std_msgs
  ADD_LINTER_TESTS
)

ament_export_dependencies(rosidl_default_runtime)

ament_package()
"
ros-drivers/ackermann_msgs,00a02b79c8310f88da639d997e76ae29b7bdedcc,2025-04-30T10:34:27Z,Update CMakeLists.txt,"fix cmake 3.5 deprecation
switch to c++17 (ros2 c++ requirement is  c++17)",mosfet80,3,3,6,"package.xml: <?xml version=""1.0""?>
<?xml-model href=""http://download.ros.org/schema/package_format3.xsd"" schematypens=""http://www.w3.org/2001/XMLSchema""?>
<package format=""3"">
  <name>ackermann_msgs</name>
  <version>2.0.2</version>
  <description>ROS2 messages for robots using Ackermann steering.</description>

  <maintainer email=""vincentrou@gmail.com"">Vincent Rousseau</maintainer>
  <author>Jack O'Quin</author>
  <license>BSD</license>

  <buildtool_depend>ament_cmake</buildtool_depend>
  <buildtool_depend>rosidl_default_generators</buildtool_depend>

  <build_depend>std_msgs</build_depend>

  <exec_depend>rosidl_default_runtime</exec_depend>
  <exec_depend>std_msgs</exec_depend>

  <test_depend>ament_lint_common</test_depend>

  <member_of_group>rosidl_interface_packages</member_of_group>

  <export>
    <build_type>ament_cmake</build_type>
  </export>
</package>


CMakeLists.txt: cmake_minimum_required(VERSION 3.15)

project(ackermann_msgs)

# Default to C++17
if(NOT CMAKE_CXX_STANDARD)
  set(CMAKE_CXX_STANDARD 17)
endif()

if(CMAKE_COMPILER_IS_GNUCXX OR CMAKE_CXX_COMPILER_ID MATCHES ""Clang"")
  add_compile_options(-Wall -Wextra -Wpedantic)
endif()

find_package(ament_cmake REQUIRED)
find_package(rosidl_default_generators REQUIRED)

find_package(std_msgs REQUIRED)

rosidl_generate_interfaces(${PROJECT_NAME}
  ""msg/AckermannDrive.msg""
  ""msg/AckermannDriveStamped.msg""
  DEPENDENCIES std_msgs
  ADD_LINTER_TESTS
)

ament_export_dependencies(rosidl_default_runtime)

ament_package()
"
ros-drivers/ackermann_msgs,f61ddd8978bc1604b8beab958bb057ed344225d0,2022-02-08T14:27:40Z,close #17 ; add BSD license and update maintainer,,Vincent Rousseau,11,1,12,"package.xml: <?xml version=""1.0""?>
<?xml-model href=""http://download.ros.org/schema/package_format3.xsd"" schematypens=""http://www.w3.org/2001/XMLSchema""?>
<package format=""3"">
  <name>ackermann_msgs</name>
  <version>2.0.2</version>
  <description>ROS2 messages for robots using Ackermann steering.</description>

  <maintainer email=""vincentrou@gmail.com"">Vincent Rousseau</maintainer>
  <author>Jack O'Quin</author>
  <license>BSD</license>

  <buildtool_depend>ament_cmake</buildtool_depend>
  <buildtool_depend>rosidl_default_generators</buildtool_depend>

  <build_depend>std_msgs</build_depend>

  <exec_depend>rosidl_default_runtime</exec_depend>
  <exec_depend>std_msgs</exec_depend>

  <test_depend>ament_lint_common</test_depend>

  <member_of_group>rosidl_interface_packages</member_of_group>

  <export>
    <build_type>ament_cmake</build_type>
  </export>
</package>


CMakeLists.txt: cmake_minimum_required(VERSION 3.15)

project(ackermann_msgs)

# Default to C++17
if(NOT CMAKE_CXX_STANDARD)
  set(CMAKE_CXX_STANDARD 17)
endif()

if(CMAKE_COMPILER_IS_GNUCXX OR CMAKE_CXX_COMPILER_ID MATCHES ""Clang"")
  add_compile_options(-Wall -Wextra -Wpedantic)
endif()

find_package(ament_cmake REQUIRED)
find_package(rosidl_default_generators REQUIRED)

find_package(std_msgs REQUIRED)

rosidl_generate_interfaces(${PROJECT_NAME}
  ""msg/AckermannDrive.msg""
  ""msg/AckermannDriveStamped.msg""
  DEPENDENCIES std_msgs
  ADD_LINTER_TESTS
)

ament_export_dependencies(rosidl_default_runtime)

ament_package()
"
ros-drivers/ackermann_msgs,df2fe51eb04e8bd3c0ba4f8a6ded8aea3815b660,2019-08-28T11:53:04Z,2.0.2,,Rousseau Vincent,3,3,6,"package.xml: <?xml version=""1.0""?>
<?xml-model href=""http://download.ros.org/schema/package_format3.xsd"" schematypens=""http://www.w3.org/2001/XMLSchema""?>
<package format=""3"">
  <name>ackermann_msgs</name>
  <version>2.0.2</version>
  <description>ROS2 messages for robots using Ackermann steering.</description>

  <maintainer email=""vincentrou@gmail.com"">Vincent Rousseau</maintainer>
  <author>Jack O'Quin</author>
  <license>BSD</license>

  <buildtool_depend>ament_cmake</buildtool_depend>
  <buildtool_depend>rosidl_default_generators</buildtool_depend>

  <build_depend>std_msgs</build_depend>

  <exec_depend>rosidl_default_runtime</exec_depend>
  <exec_depend>std_msgs</exec_depend>

  <test_depend>ament_lint_common</test_depend>

  <member_of_group>rosidl_interface_packages</member_of_group>

  <export>
    <build_type>ament_cmake</build_type>
  </export>
</package>


CMakeLists.txt: cmake_minimum_required(VERSION 3.15)

project(ackermann_msgs)

# Default to C++17
if(NOT CMAKE_CXX_STANDARD)
  set(CMAKE_CXX_STANDARD 17)
endif()

if(CMAKE_COMPILER_IS_GNUCXX OR CMAKE_CXX_COMPILER_ID MATCHES ""Clang"")
  add_compile_options(-Wall -Wextra -Wpedantic)
endif()

find_package(ament_cmake REQUIRED)
find_package(rosidl_default_generators REQUIRED)

find_package(std_msgs REQUIRED)

rosidl_generate_interfaces(${PROJECT_NAME}
  ""msg/AckermannDrive.msg""
  ""msg/AckermannDriveStamped.msg""
  DEPENDENCIES std_msgs
  ADD_LINTER_TESTS
)

ament_export_dependencies(rosidl_default_runtime)

ament_package()
"
ros-drivers/ackermann_msgs,ee0c57965018b4ff0be5fdf3ef89d8d26cca6f24,2019-08-28T11:52:15Z,update changelog,,Rousseau Vincent,5,0,5,"package.xml: <?xml version=""1.0""?>
<?xml-model href=""http://download.ros.org/schema/package_format3.xsd"" schematypens=""http://www.w3.org/2001/XMLSchema""?>
<package format=""3"">
  <name>ackermann_msgs</name>
  <version>2.0.2</version>
  <description>ROS2 messages for robots using Ackermann steering.</description>

  <maintainer email=""vincentrou@gmail.com"">Vincent Rousseau</maintainer>
  <author>Jack O'Quin</author>
  <license>BSD</license>

  <buildtool_depend>ament_cmake</buildtool_depend>
  <buildtool_depend>rosidl_default_generators</buildtool_depend>

  <build_depend>std_msgs</build_depend>

  <exec_depend>rosidl_default_runtime</exec_depend>
  <exec_depend>std_msgs</exec_depend>

  <test_depend>ament_lint_common</test_depend>

  <member_of_group>rosidl_interface_packages</member_of_group>

  <export>
    <build_type>ament_cmake</build_type>
  </export>
</package>


CMakeLists.txt: cmake_minimum_required(VERSION 3.15)

project(ackermann_msgs)

# Default to C++17
if(NOT CMAKE_CXX_STANDARD)
  set(CMAKE_CXX_STANDARD 17)
endif()

if(CMAKE_COMPILER_IS_GNUCXX OR CMAKE_CXX_COMPILER_ID MATCHES ""Clang"")
  add_compile_options(-Wall -Wextra -Wpedantic)
endif()

find_package(ament_cmake REQUIRED)
find_package(rosidl_default_generators REQUIRED)

find_package(std_msgs REQUIRED)

rosidl_generate_interfaces(${PROJECT_NAME}
  ""msg/AckermannDrive.msg""
  ""msg/AckermannDriveStamped.msg""
  DEPENDENCIES std_msgs
  ADD_LINTER_TESTS
)

ament_export_dependencies(rosidl_default_runtime)

ament_package()
"
ros-drivers/ackermann_msgs,4af9a5c14f5bd1ae43e70398db9647792b1b4b7c,2019-08-28T11:45:07Z,missing std msg dependency,,Rousseau Vincent,12,8,20,"package.xml: <?xml version=""1.0""?>
<?xml-model href=""http://download.ros.org/schema/package_format3.xsd"" schematypens=""http://www.w3.org/2001/XMLSchema""?>
<package format=""3"">
  <name>ackermann_msgs</name>
  <version>2.0.2</version>
  <description>ROS2 messages for robots using Ackermann steering.</description>

  <maintainer email=""vincentrou@gmail.com"">Vincent Rousseau</maintainer>
  <author>Jack O'Quin</author>
  <license>BSD</license>

  <buildtool_depend>ament_cmake</buildtool_depend>
  <buildtool_depend>rosidl_default_generators</buildtool_depend>

  <build_depend>std_msgs</build_depend>

  <exec_depend>rosidl_default_runtime</exec_depend>
  <exec_depend>std_msgs</exec_depend>

  <test_depend>ament_lint_common</test_depend>

  <member_of_group>rosidl_interface_packages</member_of_group>

  <export>
    <build_type>ament_cmake</build_type>
  </export>
</package>


CMakeLists.txt: cmake_minimum_required(VERSION 3.15)

project(ackermann_msgs)

# Default to C++17
if(NOT CMAKE_CXX_STANDARD)
  set(CMAKE_CXX_STANDARD 17)
endif()

if(CMAKE_COMPILER_IS_GNUCXX OR CMAKE_CXX_COMPILER_ID MATCHES ""Clang"")
  add_compile_options(-Wall -Wextra -Wpedantic)
endif()

find_package(ament_cmake REQUIRED)
find_package(rosidl_default_generators REQUIRED)

find_package(std_msgs REQUIRED)

rosidl_generate_interfaces(${PROJECT_NAME}
  ""msg/AckermannDrive.msg""
  ""msg/AckermannDriveStamped.msg""
  DEPENDENCIES std_msgs
  ADD_LINTER_TESTS
)

ament_export_dependencies(rosidl_default_runtime)

ament_package()
"
ros-drivers/ackermann_msgs,f6e09c3b4cc5044ef18ac1d80b6fa8b8f8525f72,2019-08-14T11:15:48Z,2.0.1,,Rousseau Vincent,3,3,6,"package.xml: <?xml version=""1.0""?>
<?xml-model href=""http://download.ros.org/schema/package_format3.xsd"" schematypens=""http://www.w3.org/2001/XMLSchema""?>
<package format=""3"">
  <name>ackermann_msgs</name>
  <version>2.0.2</version>
  <description>ROS2 messages for robots using Ackermann steering.</description>

  <maintainer email=""vincentrou@gmail.com"">Vincent Rousseau</maintainer>
  <author>Jack O'Quin</author>
  <license>BSD</license>

  <buildtool_depend>ament_cmake</buildtool_depend>
  <buildtool_depend>rosidl_default_generators</buildtool_depend>

  <build_depend>std_msgs</build_depend>

  <exec_depend>rosidl_default_runtime</exec_depend>
  <exec_depend>std_msgs</exec_depend>

  <test_depend>ament_lint_common</test_depend>

  <member_of_group>rosidl_interface_packages</member_of_group>

  <export>
    <build_type>ament_cmake</build_type>
  </export>
</package>


CMakeLists.txt: cmake_minimum_required(VERSION 3.15)

project(ackermann_msgs)

# Default to C++17
if(NOT CMAKE_CXX_STANDARD)
  set(CMAKE_CXX_STANDARD 17)
endif()

if(CMAKE_COMPILER_IS_GNUCXX OR CMAKE_CXX_COMPILER_ID MATCHES ""Clang"")
  add_compile_options(-Wall -Wextra -Wpedantic)
endif()

find_package(ament_cmake REQUIRED)
find_package(rosidl_default_generators REQUIRED)

find_package(std_msgs REQUIRED)

rosidl_generate_interfaces(${PROJECT_NAME}
  ""msg/AckermannDrive.msg""
  ""msg/AckermannDriveStamped.msg""
  DEPENDENCIES std_msgs
  ADD_LINTER_TESTS
)

ament_export_dependencies(rosidl_default_runtime)

ament_package()
"
ros-drivers/ackermann_msgs,9695c5cee85e5b7920b46fcbf4b720d3a7c44eeb,2019-08-14T11:15:37Z,Change version number,,Rousseau Vincent,1,1,2,"package.xml: <?xml version=""1.0""?>
<?xml-model href=""http://download.ros.org/schema/package_format3.xsd"" schematypens=""http://www.w3.org/2001/XMLSchema""?>
<package format=""3"">
  <name>ackermann_msgs</name>
  <version>2.0.2</version>
  <description>ROS2 messages for robots using Ackermann steering.</description>

  <maintainer email=""vincentrou@gmail.com"">Vincent Rousseau</maintainer>
  <author>Jack O'Quin</author>
  <license>BSD</license>

  <buildtool_depend>ament_cmake</buildtool_depend>
  <buildtool_depend>rosidl_default_generators</buildtool_depend>

  <build_depend>std_msgs</build_depend>

  <exec_depend>rosidl_default_runtime</exec_depend>
  <exec_depend>std_msgs</exec_depend>

  <test_depend>ament_lint_common</test_depend>

  <member_of_group>rosidl_interface_packages</member_of_group>

  <export>
    <build_type>ament_cmake</build_type>
  </export>
</package>


CMakeLists.txt: cmake_minimum_required(VERSION 3.15)

project(ackermann_msgs)

# Default to C++17
if(NOT CMAKE_CXX_STANDARD)
  set(CMAKE_CXX_STANDARD 17)
endif()

if(CMAKE_COMPILER_IS_GNUCXX OR CMAKE_CXX_COMPILER_ID MATCHES ""Clang"")
  add_compile_options(-Wall -Wextra -Wpedantic)
endif()

find_package(ament_cmake REQUIRED)
find_package(rosidl_default_generators REQUIRED)

find_package(std_msgs REQUIRED)

rosidl_generate_interfaces(${PROJECT_NAME}
  ""msg/AckermannDrive.msg""
  ""msg/AckermannDriveStamped.msg""
  DEPENDENCIES std_msgs
  ADD_LINTER_TESTS
)

ament_export_dependencies(rosidl_default_runtime)

ament_package()
"
