date,year,discussion_type,title
2024-01-01 12:16:20+00:00,2024,ros_answers,Robot moves to certain coordinate point with rclpy and set multiple goals?
2024-01-01 17:20:26+00:00,2024,ros_answers,ROS2 Message Serialization to String in C++
2024-01-01 20:04:44+00:00,2024,ros_answers,ROS 2 Humble: RCLError: Failed to publish: Publisher;s contexxt is invalid
2024-01-02 09:29:56+00:00,2024,ros_answers,Proper Way to Subscribe to 'robot_description' from a ros2_control Controller?
2024-01-02 12:06:43+00:00,2024,ros_answers,"Error message ""Failed status on line 98: 1. Aborting"" while running zephyr host emulator"
2024-01-02 15:38:06+00:00,2024,ros_answers,EKF localization node in robot_localization package doesn't stop
2024-01-02 20:49:34+00:00,2024,ros_answers,Needed: ROS node manager
2024-01-02 21:26:48+00:00,2024,ros_answers,Problems in installing catkin_make on ROS 2
2024-01-02 21:33:15+00:00,2024,ros_answers,Unable to spawn Gazebo from terminal
2024-01-02 21:47:54+00:00,2024,ros_answers,Installing ROS2 without Internet Access
2024-01-02 22:13:39+00:00,2024,ros_answers,Unable to install ros-gz on my Ubuntu 22.04 machine with ROS2 Iron already installed
2024-01-02 23:10:40+00:00,2024,ros_answers,Where can I find Google Scanned Objects?
2024-01-03 03:16:14+00:00,2024,ros_answers,IMU Sensor not working when enabling lockstep in Gazebo 11
2024-01-03 06:07:53+00:00,2024,ros_answers,Both binary & source installation failing for ros-gz with ROS2-Iron & Ubuntu Jammy
2024-01-03 09:04:14+00:00,2024,ros_answers,"what is executors, and callbackgroup in ROS2?"
2024-01-03 09:16:03+00:00,2024,ros_answers,is ROS2 Foxy still viable with Nav2?
2024-01-03 10:27:46+00:00,2024,stackoverflow,Segmentation fault in PCL viewer
2024-01-03 12:30:48+00:00,2024,ros_answers,ublox_gps doesn't publish fix messages inside docker
2024-01-03 16:03:04+00:00,2024,ros_answers,Rplidar A2 is not running on the humble version
2024-01-03 17:39:39+00:00,2024,ros_answers,ros2 foxy - set / publish simulation time and enable use_sim_time
2024-01-03 18:37:18+00:00,2024,ros_answers,How to make tagged union (aka sum type) in ROS message?
2024-01-03 20:20:35+00:00,2024,ros_answers,Issue to run a python executable code on ROS2
2024-01-04 03:56:23+00:00,2024,ros_answers,How do I get started with ROS2 on a mac?
2024-01-04 05:21:27+00:00,2024,ros_answers,What is prioritized in Nav2? bt_navigator or simple commander API?
2024-01-04 09:58:46+00:00,2024,ros_answers,is there a way to transform gz's gz.msgs.Model message to sensor_msgs/JointState?
2024-01-04 13:17:04+00:00,2024,ros_answers,Using custom map with Turtlebot3 for gmapping
2024-01-04 14:17:57+00:00,2024,ros_answers,Gazebo simulator using DIS messages
2024-01-04 14:46:13+00:00,2024,ros_answers,"""depends libdrat-dev but it is not going to be installed"" when trying to install gazebo humble"
2024-01-04 14:55:23+00:00,2024,ros_answers,"ROS 1: How to programatically write static transforms to a bag file so that rviz ""sees"" it"
2024-01-04 16:01:22+00:00,2024,ros_answers,Model loading in rviz but not visible in gazebo
2024-01-04 22:29:24+00:00,2024,ros_answers,How do you send positions in joint_states topic if there's already default positions being published?
2024-01-04 23:02:35+00:00,2024,ros_answers,Moveit2 'planning plugin name is empty' error when creating a new planning pipeline
2024-01-05 01:08:05+00:00,2024,ros_answers,gazebo_ros_control plugin causes all joints and links to collapse to the origin of gazebo
2024-01-05 04:46:56+00:00,2024,ros_answers,Hinfinty Controller for TWO wheeled self balancing robot
2024-01-05 06:38:54+00:00,2024,ros_answers,Service callback in ros2 Python is not firing
2024-01-05 06:45:35+00:00,2024,ros_answers,"Mobile robot moves sideways in Rviz, but properly in gazebo"
2024-01-05 08:29:52+00:00,2024,ros_answers,"""gz-cmake3"", but CMake did not find one. Error during building ros_gz_template_project"
2024-01-05 11:15:59+00:00,2024,stackoverflow,Why can't I get the param from the launchfile in ROS?
2024-01-05 11:32:20+00:00,2024,ros_answers,"ros2 ackermann robot not moving forward, left and right"
2024-01-05 12:15:23+00:00,2024,ros_answers,Using ImageTransport in a constructor throws std::bad_weak_ptr
2024-01-05 13:16:22+00:00,2024,ros_answers,Not getting any output with python message_filter ApproximateTimeSynchronizer
2024-01-05 18:43:24+00:00,2024,ros_answers,Still facing problems with global planner to generate plan in NAV2?
2024-01-06 07:54:20+00:00,2024,ros_answers,process has died Rplidar node
2024-01-06 12:35:41+00:00,2024,ros_answers,Transform between odom and base_link not made. ros2_controller Ackermann Steering Controller
2024-01-06 19:13:36+00:00,2024,ros_answers,CMake Error: 'iDynTree::idyntree-core' was not found before
2024-01-07 03:12:27+00:00,2024,ros_answers,Basic Gazebo Tutorial Crashes - Building Your Own Robot
2024-01-08 01:03:37+00:00,2024,ros_answers,Trying to install ros-ROS_DISTRO-behaviortree-cpp-v3 in ROS 2 Iron
2024-01-08 04:49:58+00:00,2024,ros_answers,error while using diff_drive plugin
2024-01-08 10:30:46+00:00,2024,ros_answers,Not able to use usb_cam package
2024-01-08 16:06:44+00:00,2024,ros_answers,ROS2 CANopen Stack
2024-01-08 16:45:24+00:00,2024,ros_answers,What is the ROS2 equivalent of rospy.AnyMsg?
2024-01-08 20:37:21+00:00,2024,ros_answers,undefined symbol: GzPluginHook
2024-01-08 22:02:06+00:00,2024,ros_answers,Duplicate tf messages with robot_state_publisher and coded tfs
2024-01-09 03:31:58+00:00,2024,ros_answers,help with moving wheels of robot in gazebo
2024-01-09 06:36:50+00:00,2024,ros_answers,robot moving backwards when the 2d_Nav_goal set behind the robot
2024-01-09 08:55:07+00:00,2024,ros_answers,ROS Debug Clion - Controller
2024-01-09 09:07:16+00:00,2024,ros_answers,Very slow / No rotation of front wheels for an ackermann steering type model
2024-01-09 10:10:47+00:00,2024,ros_answers,Colcon build does not build all of my packages (after I deleted and reinstalled older cmake)
2024-01-09 12:18:50+00:00,2024,ros_answers,What should be the correct direction of X-axis assigned to a joint frame as per DH convention?
2024-01-09 15:58:19+00:00,2024,ros_answers,Nav2: Message Filter dropping message: frame
2024-01-09 21:05:04+00:00,2024,ros_answers,Lag between effort command and measured effort
2024-01-10 03:51:57+00:00,2024,ros_answers,How to read a mcap file and publish message using cpp and ros2(foxy)?
2024-01-10 09:50:36+00:00,2024,ros_answers,No map received error while following nav2 tutorial
2024-01-10 09:54:39+00:00,2024,ros_answers,"Does rostest/gtest (ROS , CPP) provide any conditional compilaton flag?"
2024-01-10 10:45:41+00:00,2024,ros_answers,"TF_OLD_DATA, issue with hector_mapping,"
2024-01-10 11:43:39+00:00,2024,ros_answers,How to declare parameter that are only known at runtime
2024-01-10 12:57:20+00:00,2024,ros_answers,F450 Quadcopter frame torques
2024-01-10 13:44:05+00:00,2024,ros_answers,Sensors in ROS2 without driver
2024-01-10 14:49:30+00:00,2024,ros_answers,Identifying Gazebo objects with a GpuRaySensor
2024-01-10 15:10:05+00:00,2024,ros_answers,JTC ignores URDF velocity limit
2024-01-11 02:21:33+00:00,2024,ros_answers,How to use Gazebo Ignition NavSat plugin
2024-01-11 10:43:43+00:00,2024,ros_answers,How to plan several motions without execution with moveit?
2024-01-11 14:08:06+00:00,2024,stackoverflow,"After trying to build a package in ROS-Melodic i get the ERROR: ""Could NOT find Boost"""
2024-01-11 14:16:21+00:00,2024,ros_answers,AttributeError: module 'xml' has no attribute 'parsers'
2024-01-11 17:48:24+00:00,2024,ros_answers,Feasibility: Pointcloud-Mesh Registration to determine unknown transforms?
2024-01-11 23:44:17+00:00,2024,ros_answers,IK numerical vs analytical solutions and singularities
2024-01-12 02:40:46+00:00,2024,ros_answers,catkin cmake can't find ros packages
2024-01-12 04:05:14+00:00,2024,ros_answers,Nav2 - How to create a custom behavior tree (BT) plugin/node in a separate ros2 package?
2024-01-12 04:16:20+00:00,2024,ros_answers,facing issue while using tricycle_controller in ros2 humble
2024-01-12 11:13:31+00:00,2024,ros_answers,Reconstruct 3d positions of markers relative to each other without camera localization
2024-01-12 11:18:30+00:00,2024,ros_answers,How to work with a custom joint states topic which involves a robot namespace?
2024-01-12 14:09:32+00:00,2024,ros_answers,micro ros arduino Deserialization of data failed -> function deserialize_change error
2024-01-12 14:40:27+00:00,2024,ros_answers,How to send and receive CAN messages on Ubuntu 18.04 using ROS Melodic
2024-01-13 08:27:03+00:00,2024,ros_answers,Gazebo_ros launch
2024-01-13 11:38:59+00:00,2024,ros_answers,Leg_detector: cannot output data
2024-01-13 15:07:10+00:00,2024,ros_answers,Ros2 Dictionary srv/msg type
2024-01-13 15:26:17+00:00,2024,ros_answers,micro ros agent connectivity issue
2024-01-13 17:08:33+00:00,2024,ros_answers,Integrating Velodyne HDL-64E S2 Lidar with ROS2 - Driver does not seem to support it
2024-01-13 18:50:01+00:00,2024,ros_answers,getting a warning regarding cmake whiile doing catkin_make in ROS noetic
2024-01-14 10:23:50+00:00,2024,ros_answers,ArUco Markers Distance Estimation Accuracy Difference
2024-01-14 10:53:00+00:00,2024,ros_answers,Gazebo loading texture file for custom made model
2024-01-14 11:34:26+00:00,2024,ros_answers,design documents for ros2_control transmissions
2024-01-14 13:40:57+00:00,2024,ros_answers,"""Gazebo GUI"" is not responding when running spherical_coordinates.sdf world"
2024-01-14 13:45:25+00:00,2024,ros_answers,How to stop the robot with nav2 foxy?
2024-01-14 20:44:06+00:00,2024,ros_answers,Track_unknown_space doesn't seems to enabled correctly in Global Planner and Costmap params
2024-01-15 00:44:31+00:00,2024,ros_answers,Suggestions on Saving Poses in Nav2 to Databases
2024-01-15 08:34:58+00:00,2024,ros_answers,Lifecycle node consuming cpu in deactivated state
2024-01-15 11:40:01+00:00,2024,ros_answers,ROS2 No module named 'tutorial_interfaces.tutorial_interfaces_s__rosidl_typesupport_c'
2024-01-15 13:56:16+00:00,2024,ros_answers,Can't Install Ros2 Humble in ubuntu 23.04
2024-01-15 14:04:52+00:00,2024,ros_answers,What is the difference between JointJog msgs and JointTrajectory msg in ros2?
2024-01-15 14:15:12+00:00,2024,ros_answers,Rviz Tf breaks when I change fixed frame to odom frame
2024-01-15 14:40:38+00:00,2024,ros_answers,Is cmd_vel output from Ros2_control a good way to control motors in a diff-drive robot?
2024-01-15 22:34:18+00:00,2024,ros_answers,"Is there a way to get ""serial""-like output from the code running on the arduino"
2024-01-16 07:33:26+00:00,2024,stackoverflow,Increase processing time in Unity with captureDeltaTime
2024-01-16 08:08:05+00:00,2024,ros_answers,How to rotate a Homogeneous Transformation Matrix about multiple axes?
2024-01-16 13:52:20+00:00,2024,ros_answers,How to keep Gazebo open and load new changes to it from URDF file?
2024-01-16 17:02:29+00:00,2024,ros_answers,Issue with Continuous Map Creation Using YDLidar X2 and ROS2 Humble SLAM Toolbox
2024-01-16 20:55:53+00:00,2024,ros_answers,Continuous rotation servo unresponsive to speed changes
2024-01-17 00:58:41+00:00,2024,ros_answers,Interactive Waypoint Follower Script in Navigation2 GPS Waypoint Follower Tutorial Not Fully Working for ROS2 Galactic?
2024-01-17 02:05:22+00:00,2024,ros_answers,CycloneDDS is not working well ROS_LOCALHOST_ONLY=1 in ros2 humble
2024-01-17 04:41:10+00:00,2024,ros_answers,"ros2_control_node crashes abruptly with error ""what(): Taking data from action server but nothing is ready"
2024-01-17 04:49:45+00:00,2024,ros_answers,Is there a way to leverage a custom inertial model for the robot_localization state estimation EKF?
2024-01-17 08:53:24+00:00,2024,ros_answers,Increasing the obstacle detection range in costmap ROS2 Foxy
2024-01-17 11:25:48+00:00,2024,ros_answers,error in installation moveit2 tutorial
2024-01-17 14:17:06+00:00,2024,ros_answers,Writing a Publisher and Subscriber to wirelessly communicate over 2 Linux PCs in C
2024-01-17 14:42:55+00:00,2024,ros_answers,Export URDF to an 3D model
2024-01-17 17:10:24+00:00,2024,ros_answers,How to write a MoveIt Controller Allocator
