repository,year,total_commits,ai_commits,non_ai_commits,ai_percentage
ros/urdf_parser_py,2012,15,0,15,0.0
ros/urdf_parser_py,2013,57,1,56,1.75
ros/urdf_parser_py,2014,6,0,6,0.0
ros/urdf_parser_py,2015,5,0,5,0.0
ros2/system_tests,2015,178,0,178,0.0
ros2/system_tests,2016,143,3,140,2.1
ros/urdf_parser_py,2016,11,0,11,0.0
ros/urdf_parser_py,2017,13,0,13,0.0
ros2/system_tests,2017,81,0,81,0.0
ros/urdf_parser_py,2018,7,0,7,0.0
ros2/system_tests,2018,57,0,57,0.0
ros2/system_tests,2019,65,2,63,3.08
ros/urdf_parser_py,2019,3,0,3,0.0
UniversalRobots/Universal_Robots_ROS2_Driver,2020,42,3,39,7.14
UniversalRobots/Universal_Robots_ROS2_Description,2020,10,1,9,10.0
ros/urdf_parser_py,2020,10,1,9,10.0
ros2/system_tests,2020,46,1,45,2.17
SBG-Systems/sbg_ros2_driver,2020,21,0,21,0.0
eclipse-zenoh/zenoh-plugin-dds,2020,52,0,52,0.0
UniversalRobots/Universal_Robots_ROS2_Driver,2021,175,36,139,20.57
UniversalRobots/Universal_Robots_ROS2_Description,2021,38,8,30,21.05
ros2/system_tests,2021,29,2,27,6.9
SBG-Systems/sbg_ros2_driver,2021,12,0,12,0.0
eclipse-zenoh/zenoh-plugin-dds,2021,161,0,161,0.0
ros/urdf_parser_py,2021,2,0,2,0.0
UniversalRobots/Universal_Robots_ROS2_Driver,2022,102,14,88,13.73
UniversalRobots/Universal_Robots_ROS2_Description,2022,53,2,51,3.77
MetroRobots/ros_system_fingerprint,2022,23,1,22,4.35
eclipse-zenoh/zenoh-plugin-dds,2022,116,1,115,0.86
SBG-Systems/sbg_ros2_driver,2022,1,0,1,0.0
ToyotaResearchInstitute/gauges2,2022,3,0,3,0.0
ros/urdf_parser_py,2022,4,0,4,0.0
ros2/system_tests,2022,18,0,18,0.0
UniversalRobots/Universal_Robots_ROS2_Driver,2023,109,35,74,32.11
UniversalRobots/Universal_Robots_ROS2_Description,2023,49,18,31,36.73
eclipse-zenoh/zenoh-plugin-dds,2023,95,2,93,2.11
ToyotaResearchInstitute/gauges2,2023,13,1,12,7.69
ros2/system_tests,2023,34,1,33,2.94
MetroRobots/ros_system_fingerprint,2023,3,0,3,0.0
SBG-Systems/sbg_ros2_driver,2023,71,0,71,0.0
ros/urdf_parser_py,2023,5,0,5,0.0
eclipse-zenoh/zenoh-plugin-dds,2024,229,153,76,66.81
UniversalRobots/Universal_Robots_ROS2_Driver,2024,115,27,88,23.48
UniversalRobots/Universal_Robots_ROS2_Description,2024,49,16,33,32.65
ToyotaResearchInstitute/gauges2,2024,14,1,13,7.14
Barry-Xu-2018/ros2_service_load_balancing,2024,29,0,29,0.0
MetroRobots/ros_system_fingerprint,2024,1,0,1,0.0
SBG-Systems/sbg_ros2_driver,2024,39,0,39,0.0
ros/urdf_parser_py,2024,1,0,1,0.0
ros2/system_tests,2024,25,0,25,0.0
eclipse-zenoh/zenoh-plugin-dds,2025,318,277,41,87.11
UniversalRobots/Universal_Robots_ROS2_Driver,2025,149,31,118,20.81
UniversalRobots/Universal_Robots_ROS2_Description,2025,54,20,34,37.04
ros2/system_tests,2025,23,3,20,13.04
Barry-Xu-2018/ros2_service_load_balancing,2025,8,0,8,0.0
SBG-Systems/sbg_ros2_driver,2025,21,0,21,0.0
ros/urdf_parser_py,2025,1,0,1,0.0
eclipse-zenoh/zenoh-plugin-dds,2026,90,89,1,98.89
UniversalRobots/Universal_Robots_ROS2_Driver,2026,42,12,30,28.57
UniversalRobots/Universal_Robots_ROS2_Description,2026,4,3,1,75.0
MetroRobots/ros_system_fingerprint,2026,3,1,2,33.33
ros2/system_tests,2026,7,1,6,14.29
namo-robotics/ros2_system_webview,2026,38,0,38,0.0
