repository,ai_detected,confidence,first_ai_commit_sha,first_ai_commit_date,first_ai_commit_title,total_ai_related_commits,max_ai_score,possible_ai_tools
carla-simulator/carla,False,none,,,,0,0,
carla-simulator/carla,False,none,,,,0,0,
carla-simulator/carla,True,strong,a8d3ce8173e083031d363eb2e1078f6d1e6f1837,2026-04-20T17:14:28Z,fix(road): resolve Digital Twin tool crashes and tree misplacement (#9565) (#9678),1,10,Copilot
carla-simulator/carla,True,strong,a8d3ce8173e083031d363eb2e1078f6d1e6f1837,2026-04-20T17:14:28Z,fix(road): resolve Digital Twin tool crashes and tree misplacement (#9565) (#9678),1,10,Copilot
carla-simulator/carla,True,strong,a8d3ce8173e083031d363eb2e1078f6d1e6f1837,2026-04-20T17:14:28Z,fix(road): resolve Digital Twin tool crashes and tree misplacement (#9565) (#9678),1,10,Copilot
carla-simulator/carla,True,strong,c755e50fa9ad1f356a592bf4358ac1846d82026d,2026-04-08T23:22:11Z,Update LibCarla/source/carla/road/Map.cpp,2,10,Copilot
carla-simulator/carla,True,strong,c755e50fa9ad1f356a592bf4358ac1846d82026d,2026-04-08T23:22:11Z,Update LibCarla/source/carla/road/Map.cpp,2,10,Copilot
carla-simulator/carla,True,strong,c755e50fa9ad1f356a592bf4358ac1846d82026d,2026-04-08T23:22:11Z,Update LibCarla/source/carla/road/Map.cpp,2,10,Copilot
carla-simulator/carla,True,strong,c755e50fa9ad1f356a592bf4358ac1846d82026d,2026-04-08T23:22:11Z,Update LibCarla/source/carla/road/Map.cpp,2,10,Copilot
carla-simulator/carla,True,strong,c755e50fa9ad1f356a592bf4358ac1846d82026d,2026-04-08T23:22:11Z,Update LibCarla/source/carla/road/Map.cpp,2,10,Copilot
carla-simulator/carla,True,strong,c755e50fa9ad1f356a592bf4358ac1846d82026d,2026-04-08T23:22:11Z,Update LibCarla/source/carla/road/Map.cpp,2,10,Copilot
carla-simulator/carla,True,strong,c755e50fa9ad1f356a592bf4358ac1846d82026d,2026-04-08T23:22:11Z,Update LibCarla/source/carla/road/Map.cpp,2,10,Copilot
carla-simulator/carla,True,strong,c755e50fa9ad1f356a592bf4358ac1846d82026d,2026-04-08T23:22:11Z,Update LibCarla/source/carla/road/Map.cpp,2,10,Copilot
carla-simulator/carla,True,strong,c755e50fa9ad1f356a592bf4358ac1846d82026d,2026-04-08T23:22:11Z,Update LibCarla/source/carla/road/Map.cpp,2,10,Copilot
carla-simulator/carla,True,strong,c755e50fa9ad1f356a592bf4358ac1846d82026d,2026-04-08T23:22:11Z,Update LibCarla/source/carla/road/Map.cpp,2,10,Copilot
carla-simulator/carla,True,strong,c755e50fa9ad1f356a592bf4358ac1846d82026d,2026-04-08T23:22:11Z,Update LibCarla/source/carla/road/Map.cpp,2,10,Copilot
carla-simulator/carla,True,strong,815b8ba2c92cd25ab4789565e7563fe86ddfc83a,2026-04-07T13:27:11Z,feat: add Ubuntu 24.04 support alongside 22.04 (#9596),3,10,Copilot
carla-simulator/carla,True,strong,815b8ba2c92cd25ab4789565e7563fe86ddfc83a,2026-04-07T13:27:11Z,feat: add Ubuntu 24.04 support alongside 22.04 (#9596),3,10,Copilot
carla-simulator/carla,True,strong,815b8ba2c92cd25ab4789565e7563fe86ddfc83a,2026-04-07T13:27:11Z,feat: add Ubuntu 24.04 support alongside 22.04 (#9596),3,10,Copilot
carla-simulator/carla,True,strong,815b8ba2c92cd25ab4789565e7563fe86ddfc83a,2026-04-07T13:27:11Z,feat: add Ubuntu 24.04 support alongside 22.04 (#9596),3,10,Copilot
carla-simulator/carla,True,strong,a40939fd5f3f5f41c1d43e6a862bdc2b98752e29,2026-03-31T07:38:58Z,fix(LibCarla): eliminate compiler warnings (#9587),4,10,Copilot
carla-simulator/carla,True,strong,a02a02c6ff0fe082be7dbbb393f2ec94b0bedf60,2026-03-30T07:41:27Z,"fix(sensors): port camera, semantic tag, and bbox fixes from ue4-dev (#9586)",5,10,Copilot
carla-simulator/carla,True,strong,70092f35a9fb44d67e7774274a1372cba5c6933b,2026-03-30T07:39:07Z,fix(LibCarla): port core bug fixes from ue4-dev (#9585),6,10,Copilot
carla-simulator/carla,True,strong,70092f35a9fb44d67e7774274a1372cba5c6933b,2026-03-30T07:39:07Z,fix(LibCarla): port core bug fixes from ue4-dev (#9585),6,10,Copilot
carla-simulator/carla,True,strong,70092f35a9fb44d67e7774274a1372cba5c6933b,2026-03-30T07:39:07Z,fix(LibCarla): port core bug fixes from ue4-dev (#9585),6,10,Copilot
carla-simulator/carla,True,strong,70092f35a9fb44d67e7774274a1372cba5c6933b,2026-03-30T07:39:07Z,fix(LibCarla): port core bug fixes from ue4-dev (#9585),6,10,Copilot
carla-simulator/carla,True,strong,70092f35a9fb44d67e7774274a1372cba5c6933b,2026-03-30T07:39:07Z,fix(LibCarla): port core bug fixes from ue4-dev (#9585),6,10,Copilot
carla-simulator/carla,True,strong,6eba6951d8d0b4d58388eab11bfaf9bcb0fa2458,2026-02-25T09:39:44Z,docs: add Visual C++ Redistributable prerequisite for Windows install (#9560),7,15,Claude; Copilot
carla-simulator/carla,True,strong,6eba6951d8d0b4d58388eab11bfaf9bcb0fa2458,2026-02-25T09:39:44Z,docs: add Visual C++ Redistributable prerequisite for Windows install (#9560),7,15,Claude; Copilot
carla-simulator/carla,True,strong,6eba6951d8d0b4d58388eab11bfaf9bcb0fa2458,2026-02-25T09:39:44Z,docs: add Visual C++ Redistributable prerequisite for Windows install (#9560),7,15,Claude; Copilot
carla-simulator/carla,True,strong,6eba6951d8d0b4d58388eab11bfaf9bcb0fa2458,2026-02-25T09:39:44Z,docs: add Visual C++ Redistributable prerequisite for Windows install (#9560),7,15,Claude; Copilot
carla-simulator/carla,True,strong,6eba6951d8d0b4d58388eab11bfaf9bcb0fa2458,2026-02-25T09:39:44Z,docs: add Visual C++ Redistributable prerequisite for Windows install (#9560),7,15,Claude; Copilot
carla-simulator/carla,True,strong,6eba6951d8d0b4d58388eab11bfaf9bcb0fa2458,2026-02-25T09:39:44Z,docs: add Visual C++ Redistributable prerequisite for Windows install (#9560),7,15,Claude; Copilot
carla-simulator/carla,True,strong,6eba6951d8d0b4d58388eab11bfaf9bcb0fa2458,2026-02-25T09:39:44Z,docs: add Visual C++ Redistributable prerequisite for Windows install (#9560),7,15,Claude; Copilot
carla-simulator/carla,True,strong,6eba6951d8d0b4d58388eab11bfaf9bcb0fa2458,2026-02-25T09:39:44Z,docs: add Visual C++ Redistributable prerequisite for Windows install (#9560),7,15,Claude; Copilot
carla-simulator/carla,True,strong,6eba6951d8d0b4d58388eab11bfaf9bcb0fa2458,2026-02-25T09:39:44Z,docs: add Visual C++ Redistributable prerequisite for Windows install (#9560),7,15,Claude; Copilot
carla-simulator/carla,True,strong,6eba6951d8d0b4d58388eab11bfaf9bcb0fa2458,2026-02-25T09:39:44Z,docs: add Visual C++ Redistributable prerequisite for Windows install (#9560),7,15,Claude; Copilot
carla-simulator/carla,True,strong,6eba6951d8d0b4d58388eab11bfaf9bcb0fa2458,2026-02-25T09:39:44Z,docs: add Visual C++ Redistributable prerequisite for Windows install (#9560),7,15,Claude; Copilot
carla-simulator/carla,True,strong,6eba6951d8d0b4d58388eab11bfaf9bcb0fa2458,2026-02-25T09:39:44Z,docs: add Visual C++ Redistributable prerequisite for Windows install (#9560),7,15,Claude; Copilot
carla-simulator/carla,True,strong,6eba6951d8d0b4d58388eab11bfaf9bcb0fa2458,2026-02-25T09:39:44Z,docs: add Visual C++ Redistributable prerequisite for Windows install (#9560),7,15,Claude; Copilot
carla-simulator/carla,True,strong,6eba6951d8d0b4d58388eab11bfaf9bcb0fa2458,2026-02-25T09:39:44Z,docs: add Visual C++ Redistributable prerequisite for Windows install (#9560),7,15,Claude; Copilot
carla-simulator/carla,True,strong,6eba6951d8d0b4d58388eab11bfaf9bcb0fa2458,2026-02-25T09:39:44Z,docs: add Visual C++ Redistributable prerequisite for Windows install (#9560),7,15,Claude; Copilot
carla-simulator/carla,True,strong,6eba6951d8d0b4d58388eab11bfaf9bcb0fa2458,2026-02-25T09:39:44Z,docs: add Visual C++ Redistributable prerequisite for Windows install (#9560),7,15,Claude; Copilot
carla-simulator/carla,True,strong,6eba6951d8d0b4d58388eab11bfaf9bcb0fa2458,2026-02-25T09:39:44Z,docs: add Visual C++ Redistributable prerequisite for Windows install (#9560),7,15,Claude; Copilot
carla-simulator/carla,True,strong,6eba6951d8d0b4d58388eab11bfaf9bcb0fa2458,2026-02-25T09:39:44Z,docs: add Visual C++ Redistributable prerequisite for Windows install (#9560),7,15,Claude; Copilot
carla-simulator/carla,True,strong,6eba6951d8d0b4d58388eab11bfaf9bcb0fa2458,2026-02-25T09:39:44Z,docs: add Visual C++ Redistributable prerequisite for Windows install (#9560),7,15,Claude; Copilot
carla-simulator/carla,True,strong,6eba6951d8d0b4d58388eab11bfaf9bcb0fa2458,2026-02-25T09:39:44Z,docs: add Visual C++ Redistributable prerequisite for Windows install (#9560),7,15,Claude; Copilot
carla-simulator/carla,True,strong,6eba6951d8d0b4d58388eab11bfaf9bcb0fa2458,2026-02-25T09:39:44Z,docs: add Visual C++ Redistributable prerequisite for Windows install (#9560),7,15,Claude; Copilot
carla-simulator/carla,True,strong,6eba6951d8d0b4d58388eab11bfaf9bcb0fa2458,2026-02-25T09:39:44Z,docs: add Visual C++ Redistributable prerequisite for Windows install (#9560),7,15,Claude; Copilot
carla-simulator/carla,True,strong,6eba6951d8d0b4d58388eab11bfaf9bcb0fa2458,2026-02-25T09:39:44Z,docs: add Visual C++ Redistributable prerequisite for Windows install (#9560),7,15,Claude; Copilot
carla-simulator/carla,True,strong,6eba6951d8d0b4d58388eab11bfaf9bcb0fa2458,2026-02-25T09:39:44Z,docs: add Visual C++ Redistributable prerequisite for Windows install (#9560),7,15,Claude; Copilot
carla-simulator/carla,True,strong,6eba6951d8d0b4d58388eab11bfaf9bcb0fa2458,2026-02-25T09:39:44Z,docs: add Visual C++ Redistributable prerequisite for Windows install (#9560),7,15,Claude; Copilot
carla-simulator/carla,True,strong,6eba6951d8d0b4d58388eab11bfaf9bcb0fa2458,2026-02-25T09:39:44Z,docs: add Visual C++ Redistributable prerequisite for Windows install (#9560),7,15,Claude; Copilot
carla-simulator/carla,True,strong,6eba6951d8d0b4d58388eab11bfaf9bcb0fa2458,2026-02-25T09:39:44Z,docs: add Visual C++ Redistributable prerequisite for Windows install (#9560),7,15,Claude; Copilot
carla-simulator/carla,True,strong,6eba6951d8d0b4d58388eab11bfaf9bcb0fa2458,2026-02-25T09:39:44Z,docs: add Visual C++ Redistributable prerequisite for Windows install (#9560),7,15,Claude; Copilot
carla-simulator/carla,True,strong,6eba6951d8d0b4d58388eab11bfaf9bcb0fa2458,2026-02-25T09:39:44Z,docs: add Visual C++ Redistributable prerequisite for Windows install (#9560),7,15,Claude; Copilot
carla-simulator/carla,True,strong,6eba6951d8d0b4d58388eab11bfaf9bcb0fa2458,2026-02-25T09:39:44Z,docs: add Visual C++ Redistributable prerequisite for Windows install (#9560),7,15,Claude; Copilot
carla-simulator/carla,True,strong,6eba6951d8d0b4d58388eab11bfaf9bcb0fa2458,2026-02-25T09:39:44Z,docs: add Visual C++ Redistributable prerequisite for Windows install (#9560),7,15,Claude; Copilot
carla-simulator/carla,True,strong,6eba6951d8d0b4d58388eab11bfaf9bcb0fa2458,2026-02-25T09:39:44Z,docs: add Visual C++ Redistributable prerequisite for Windows install (#9560),7,15,Claude; Copilot
carla-simulator/carla,True,strong,6eba6951d8d0b4d58388eab11bfaf9bcb0fa2458,2026-02-25T09:39:44Z,docs: add Visual C++ Redistributable prerequisite for Windows install (#9560),7,15,Claude; Copilot
carla-simulator/carla,True,strong,6eba6951d8d0b4d58388eab11bfaf9bcb0fa2458,2026-02-25T09:39:44Z,docs: add Visual C++ Redistributable prerequisite for Windows install (#9560),7,15,Claude; Copilot
carla-simulator/carla,True,strong,6eba6951d8d0b4d58388eab11bfaf9bcb0fa2458,2026-02-25T09:39:44Z,docs: add Visual C++ Redistributable prerequisite for Windows install (#9560),7,15,Claude; Copilot
carla-simulator/carla,True,strong,e2f6459897535433c49a34d4d5968db49d67b092,2025-10-13T13:51:34Z,Merge docs/ue5-docs into ue5-dev (#9345),8,15,Claude; Copilot
carla-simulator/carla,True,strong,e2f6459897535433c49a34d4d5968db49d67b092,2025-10-13T13:51:34Z,Merge docs/ue5-docs into ue5-dev (#9345),8,15,Claude; Copilot
carla-simulator/carla,True,strong,e2f6459897535433c49a34d4d5968db49d67b092,2025-10-13T13:51:34Z,Merge docs/ue5-docs into ue5-dev (#9345),8,15,Claude; Copilot
carla-simulator/carla,True,strong,e2f6459897535433c49a34d4d5968db49d67b092,2025-10-13T13:51:34Z,Merge docs/ue5-docs into ue5-dev (#9345),8,15,Claude; Copilot
carla-simulator/carla,True,strong,e2f6459897535433c49a34d4d5968db49d67b092,2025-10-13T13:51:34Z,Merge docs/ue5-docs into ue5-dev (#9345),8,15,Claude; Copilot
carla-simulator/carla,True,strong,e2f6459897535433c49a34d4d5968db49d67b092,2025-10-13T13:51:34Z,Merge docs/ue5-docs into ue5-dev (#9345),8,15,Claude; Copilot
carla-simulator/carla,True,strong,e2f6459897535433c49a34d4d5968db49d67b092,2025-10-13T13:51:34Z,Merge docs/ue5-docs into ue5-dev (#9345),8,15,Claude; Copilot
carla-simulator/carla,True,strong,e2f6459897535433c49a34d4d5968db49d67b092,2025-10-13T13:51:34Z,Merge docs/ue5-docs into ue5-dev (#9345),8,15,Claude; Copilot
carla-simulator/carla,True,strong,e2f6459897535433c49a34d4d5968db49d67b092,2025-10-13T13:51:34Z,Merge docs/ue5-docs into ue5-dev (#9345),8,15,Claude; Copilot
carla-simulator/carla,True,strong,e2f6459897535433c49a34d4d5968db49d67b092,2025-10-13T13:51:34Z,Merge docs/ue5-docs into ue5-dev (#9345),8,15,Claude; Copilot
carla-simulator/carla,True,strong,e2f6459897535433c49a34d4d5968db49d67b092,2025-10-13T13:51:34Z,Merge docs/ue5-docs into ue5-dev (#9345),8,15,Claude; Copilot
carla-simulator/carla,True,strong,61fe497685fb227aa59cc0dfc66f8c06507eafea,2025-09-02T19:11:23Z,Deleted seed of poison disc,9,15,Claude; Copilot
carla-simulator/carla,True,strong,61fe497685fb227aa59cc0dfc66f8c06507eafea,2025-09-02T19:11:23Z,Deleted seed of poison disc,9,15,Claude; Copilot
carla-simulator/carla,True,strong,61fe497685fb227aa59cc0dfc66f8c06507eafea,2025-09-02T19:11:23Z,Deleted seed of poison disc,9,15,Claude; Copilot
carla-simulator/carla,True,strong,61fe497685fb227aa59cc0dfc66f8c06507eafea,2025-09-02T19:11:23Z,Deleted seed of poison disc,9,15,Claude; Copilot
carla-simulator/carla,True,strong,61fe497685fb227aa59cc0dfc66f8c06507eafea,2025-09-02T19:11:23Z,Deleted seed of poison disc,9,15,Claude; Copilot
carla-simulator/carla,True,strong,61fe497685fb227aa59cc0dfc66f8c06507eafea,2025-09-02T19:11:23Z,Deleted seed of poison disc,9,15,Claude; Copilot
carla-simulator/carla,True,strong,61fe497685fb227aa59cc0dfc66f8c06507eafea,2025-09-02T19:11:23Z,Deleted seed of poison disc,9,15,Claude; Copilot
carla-simulator/carla,True,strong,61fe497685fb227aa59cc0dfc66f8c06507eafea,2025-09-02T19:11:23Z,Deleted seed of poison disc,9,15,Claude; Copilot
carla-simulator/carla,True,strong,61fe497685fb227aa59cc0dfc66f8c06507eafea,2025-09-02T19:11:23Z,Deleted seed of poison disc,9,15,Claude; Copilot
carla-simulator/carla,True,strong,61fe497685fb227aa59cc0dfc66f8c06507eafea,2025-09-02T19:11:23Z,Deleted seed of poison disc,9,15,Claude; Copilot
carla-simulator/carla,True,strong,61fe497685fb227aa59cc0dfc66f8c06507eafea,2025-09-02T19:11:23Z,Deleted seed of poison disc,9,15,Claude; Copilot
carla-simulator/carla,True,strong,61fe497685fb227aa59cc0dfc66f8c06507eafea,2025-09-02T19:11:23Z,Deleted seed of poison disc,9,15,Claude; Copilot
carla-simulator/carla,True,strong,61fe497685fb227aa59cc0dfc66f8c06507eafea,2025-09-02T19:11:23Z,Deleted seed of poison disc,9,15,Claude; Copilot
carla-simulator/carla,True,strong,61fe497685fb227aa59cc0dfc66f8c06507eafea,2025-09-02T19:11:23Z,Deleted seed of poison disc,9,15,Claude; Copilot
carla-simulator/carla,True,strong,61fe497685fb227aa59cc0dfc66f8c06507eafea,2025-09-02T19:11:23Z,Deleted seed of poison disc,9,15,Claude; Copilot
carla-simulator/carla,True,strong,61fe497685fb227aa59cc0dfc66f8c06507eafea,2025-09-02T19:11:23Z,Deleted seed of poison disc,9,15,Claude; Copilot
carla-simulator/carla,True,strong,61fe497685fb227aa59cc0dfc66f8c06507eafea,2025-09-02T19:11:23Z,Deleted seed of poison disc,9,15,Claude; Copilot
carla-simulator/carla,True,strong,61fe497685fb227aa59cc0dfc66f8c06507eafea,2025-09-02T19:11:23Z,Deleted seed of poison disc,9,15,Claude; Copilot
carla-simulator/carla,True,strong,61fe497685fb227aa59cc0dfc66f8c06507eafea,2025-09-02T19:11:23Z,Deleted seed of poison disc,9,15,Claude; Copilot
carla-simulator/carla,True,strong,61fe497685fb227aa59cc0dfc66f8c06507eafea,2025-09-02T19:11:23Z,Deleted seed of poison disc,9,15,Claude; Copilot
carla-simulator/carla,True,strong,37251efa1651d776b12f9587ee2ceb1d8bd18a37,2025-06-10T08:43:23Z,Fix the tag name for fastdds (#8939),10,15,Claude; Copilot
carla-simulator/carla,True,strong,37251efa1651d776b12f9587ee2ceb1d8bd18a37,2025-06-10T08:43:23Z,Fix the tag name for fastdds (#8939),10,15,Claude; Copilot
carla-simulator/carla,True,strong,37251efa1651d776b12f9587ee2ceb1d8bd18a37,2025-06-10T08:43:23Z,Fix the tag name for fastdds (#8939),10,15,Claude; Copilot
carla-simulator/carla,True,strong,37251efa1651d776b12f9587ee2ceb1d8bd18a37,2025-06-10T08:43:23Z,Fix the tag name for fastdds (#8939),10,15,Claude; Copilot
carla-simulator/carla,True,strong,53fd7f20706606898ce7ea31ee26f67a4d5bb56a,2025-06-02T09:18:44Z,Added Left Hand Traffic Support (UE5) (#8954),11,15,Claude; Copilot
carla-simulator/carla,True,strong,53fd7f20706606898ce7ea31ee26f67a4d5bb56a,2025-06-02T09:18:44Z,Added Left Hand Traffic Support (UE5) (#8954),11,15,Claude; Copilot
carla-simulator/carla,True,strong,5fa5f4e2e1691b1c6648ff0e53b8514617a44cab,2025-05-30T09:21:42Z,Geometry importer quick fix (#8949),12,15,Claude; Copilot
ArduPilot/ardupilot,False,none,,,,0,0,
ArduPilot/ardupilot,False,none,,,,0,0,
ArduPilot/ardupilot,False,none,,,,0,0,
ArduPilot/ardupilot,False,none,,,,0,0,
ArduPilot/ardupilot,False,none,,,,0,0,
ArduPilot/ardupilot,False,none,,,,0,0,
ArduPilot/ardupilot,False,none,,,,0,0,
ArduPilot/ardupilot,False,none,,,,0,0,
ArduPilot/ardupilot,False,none,,,,0,0,
ArduPilot/ardupilot,False,none,,,,0,0,
ArduPilot/ardupilot,False,none,,,,0,0,
ArduPilot/ardupilot,False,none,,,,0,0,
ArduPilot/ardupilot,False,none,,,,0,0,
ArduPilot/ardupilot,False,none,,,,0,0,
ArduPilot/ardupilot,False,none,,,,0,0,
ArduPilot/ardupilot,False,none,,,,0,0,
ArduPilot/ardupilot,False,none,,,,0,0,
ArduPilot/ardupilot,False,none,,,,0,0,
ArduPilot/ardupilot,True,strong,ec09e44a0966a7dd936960cbf4343cfaadeaaf7b,2026-04-27T03:53:30Z,Tools: autotest: vehicleinfo_schema: tag fenced code blocks,1,15,Claude
ArduPilot/ardupilot,True,strong,6787aa3b2036c08905b35b205ed8170303d9f8ac,2026-04-27T03:24:15Z,Tools: autotest: stop auto-passing --defaults from sim_vehicle.py,2,15,Claude
