repository,commit_sha,commit_date,commit_title,commit_message,commit_author,additions,deletions,total_changes
ros-planning/navigation2,51e31256055b0e8952f1920c8f4e37391ef685ec,2026-04-20T22:34:02Z,feat(PlannerServer): BaseGlobalPlanner plugin accepts viapoints as part of API (#5995),"* feat(PlannerServer): BaseGlobalPlanner plugin accepts viapoints as part of API

The ComputePlanToPose action now incorporates a list of stamped poses as intermediate viapoints that are forwarded to the planner plugin.

Signed-off-by: Sanchit B <researchbadamikar@gmail.com>

* fix(planners): Improved logging of skipped viapoints and cleaned imports

Signed-off-by: Sanchit B <researchbadamikar@gmail.com>

* test(planners): Add test coverage for viapoint warning logs

Pass non-empty viapoints vectors in planner unit tests to exercise
the RCLCPP_WARN branch in createPlan() for planners that ignore
viapoints (smac_2d, smac_hybrid, smac_lattice, theta_star, navfn).

Signed-off-by: Sanchit B <researchbadamikar@gmail.com>

---------

Signed-off-by: Sanchit B <researchbadamikar@gmail.com>",sbadamikar-research,119,25,144
ros-planning/navigation2,903feca70ed4f60acda7fa0be254ec88d7b6c8b6,2026-04-20T20:08:34Z,Revise citations for Smac Planner and related article (#6098),"Updated citation details for the Smac Planner and modified the bibtex entry.

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>",SteveMacenski,5,5,10
ros-planning/navigation2,8917a13e2f08ba2688fb9fa8cf3fd91919edf289,2026-04-20T19:14:00Z,fix: add world-distance pre-filter to ObstacleLayer (#6092),"* fix: add world-distance pre-filter to ObstacleLayer

Fixes ros-navigation/navigation2#6084

Signed-off-by: cheny <1426183440@qq.com>

* test: adjust obstacle_layer test for world-distance filter

Signed-off-by: cheny <1426183440@qq.com>

---------

Signed-off-by: cheny <1426183440@qq.com>",Cheny5863,20,10,30
ros-planning/navigation2,e22c8fe2393408e8332fce9988766bf916d3290f,2026-04-20T19:06:03Z,Fix ConstraintCritic to enforce axis-wise velocity bounds for holonomic robots (#6044),"* Fix ConstraintCritic to use axis-wise velocity constraints instead of magnitude bounds for holonomic robots

Signed-off-by: prajwalthakur <prajwalthakur98@gmail.com>

* Fix ConstraintCritic to use axis-wise velocity constraints instead of magnitude bounds for holonomic robots

Signed-off-by: prajwalthakur <prajwalthakur98@gmail.com>

* Remove dead code and add code coverage

Signed-off-by: mini-1235 <mauricepurnawan@gmail.com>

---------

Signed-off-by: prajwalthakur <prajwalthakur98@gmail.com>
Signed-off-by: mini-1235 <mauricepurnawan@gmail.com>
Co-authored-by: mini-1235 <mauricepurnawan@gmail.com>",prajwalthakur,94,29,123
ros-planning/navigation2,691af6e3bd1dfc4edf5ac805f165510697bcc26e,2026-04-16T18:04:19Z,feature/add fix_frame_id to vector object server (#6077),"* add fix_frame_id to vector object server

Signed-off-by: wen-shuo hsu <iamavery5417@gmail.com>

* add unit test and init check when reading shapes as params

Signed-off-by: wen-shuo hsu <iamavery5417@gmail.com>

* add lambda

Signed-off-by: wen-shuo hsu <iamavery5417@gmail.com>

* remove unnecessary arguments in lambda

Signed-off-by: wen-shuo hsu <iamavery5417@gmail.com>

* remove lines as review comments

Signed-off-by: wen-shuo hsu <iamavery5417@gmail.com>

* update unit test

Signed-off-by: wen-shuo hsu <iamavery5417@gmail.com>

* update unit test

Signed-off-by: wen-shuo hsu <iamavery5417@gmail.com>

---------

Signed-off-by: wen-shuo hsu <iamavery5417@gmail.com>",MS06J,295,9,304
ros-planning/navigation2,1872e62245de4a613a975efdfd1b0a48e99fd4b5,2026-04-15T17:43:53Z,Remove version check after BT.CPP 4.9.0 is available in all distros (#6090),Signed-off-by: mini-1235 <mauricepurnawan@gmail.com>,mini-1235,0,32,32
ros-planning/navigation2,67355eadb4d644444767279fbbb11d2d0a929f00,2026-04-14T19:51:53Z,Replace nav2_msgs::msg::Trajectory with nav_msgs::msg::Trajectory (#5976),"* Replace nav2_msgs::msg::Trajectory with nav_msgs::msg::Trajectory

Signed-off-by: NicholasAChoi <nicholasalexchoi@gmail.com>

* Remove Trajectory and TrajectoryPoint from nav2_msgs

Signed-off-by: NicholasAChoi <nicholasalexchoi@gmail.com>

* Bump CircleCI cache key from v45 to v46

Signed-off-by: NicholasAChoi <nicholasalexchoi@gmail.com>

* Update docker image

Signed-off-by: mini-1235 <mauricepurnawan@gmail.com>

* Bump to v47

Signed-off-by: mini-1235 <mauricepurnawan@gmail.com>

---------

Signed-off-by: NicholasAChoi <nicholasalexchoi@gmail.com>
Signed-off-by: mini-1235 <mauricepurnawan@gmail.com>
Co-authored-by: mini-1235 <mauricepurnawan@gmail.com>",NicholasAChoi,22,40,62
ros-planning/navigation2,f5d893394e9400addcd4595d2c22a1c8e81f4505,2026-04-13T18:49:21Z,Convert nav2_loopback_sim to C++ (#6062),"* Refactor nav2_loopback_sim package

- Removed obsolete Python utility functions from utils.py.
- Updated package.xml to reflect new dependencies and build system changes.
- Deleted unused configuration files (pytest.ini, setup.cfg, setup.py).
- Introduced new C++ components: ClockPublisher and LoopbackSimulator for improved simulation capabilities.
- Implemented main entry points for the new C++ components.
- Removed outdated test files related to copyright and style checks.

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* fix copyright date

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* fixes

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* more minor fixes

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* simplify getlaserscan

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* Add Gaussian noise to laser scan measurements

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* lint

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* Refactor ClockPublisher to use resetTimer for timer management and remove publish_period parameter

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* Refactor publishLaserScan and publishOdometry to use unique_ptr for message management

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* Refactor ClockPublisher integration into LoopbackSimulator and remove standalone executable

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* add tests

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* Update copyright notice to include ""Dexory"" in all relevant files

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* fix readme

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* fix typo in README for standalone simulator description

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* Add validation for map response and ensure map is fetched before publishing laser scan

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* Fix formatting of package selection and skip regex in CircleCI config

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* Pr review

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* PR review

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* Add autostart parameter to loopback simulator launch and remove unused z translation

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* PR review

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* remove initial publishing of t_map_to_odom_

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* fix CI

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* add nav2_core to algorithm_build

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* disable coverage-gcc for cache warm up

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* Revert ""disable coverage-gcc for cache warm up""

This reverts commit 6d392a90e8d530aa1e204bb33f34f073d77389d2.

* add nav2_loopback_sim as an execution dependency in package.xml

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

---------

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>",tonynajjar,1712,726,2438
ros-planning/navigation2,a65638d58e95bb71ab33f5441ec7022c4c7f984b,2026-04-09T20:49:34Z,fix: correct external detection rotation in opennav_docking (#6047),"* replace tf2::Quaternion::setEuler() with tf2::Quaternion::setRPY()
  - setEuler(p, r, y) rotation order: Rz(y) -> Rx(r) -> Ry(p)
  - setRPY(r, p, y) rotation order: Rx(r) -> Ry(p) -> Rz(y)
* the computed rotation remains the same in the following cases:
  - when yaw rotation equals 0.0, or
  - when roll and pitch rotations both equal 0.0
* non-default rotation that differs from the above cases will break

Fixes #6045

Signed-off-by: Nikolaos Drosinos <nikolaos.drosinos@ocado.com>",nikolaos-drosinos,12,8,20
ros-planning/navigation2,1cbe60e136dea3d98e77725ca46483766270c678,2026-04-09T17:50:14Z,Add max_lookahead_distance parameter to path validation (#6027),"* Add max_lookahead_distance parameter to path validation

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* Rename 'check_full_path' to 'stop_at_first_collision' and update related documentation and tests for clarity

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

---------

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>",tonynajjar,97,18,115
