repository,issue_number,issue_state
ToyotaResearchInstitute/gauges2,36,open
ToyotaResearchInstitute/gauges2,27,closed
ToyotaResearchInstitute/gauges2,26,closed
ToyotaResearchInstitute/gauges2,25,closed
ToyotaResearchInstitute/gauges2,18,closed
ToyotaResearchInstitute/gauges2,11,closed
ToyotaResearchInstitute/gauges2,9,closed
ToyotaResearchInstitute/gauges2,8,closed
ToyotaResearchInstitute/gauges2,6,open
ToyotaResearchInstitute/gauges2,5,closed
ToyotaResearchInstitute/gauges2,1,closed
SBG-Systems/sbg_ros2_driver,70,open
SBG-Systems/sbg_ros2_driver,68,open
SBG-Systems/sbg_ros2_driver,66,open
SBG-Systems/sbg_ros2_driver,65,open
SBG-Systems/sbg_ros2_driver,64,open
SBG-Systems/sbg_ros2_driver,62,closed
SBG-Systems/sbg_ros2_driver,60,closed
SBG-Systems/sbg_ros2_driver,58,closed
SBG-Systems/sbg_ros2_driver,57,open
SBG-Systems/sbg_ros2_driver,56,open
SBG-Systems/sbg_ros2_driver,55,open
SBG-Systems/sbg_ros2_driver,54,open
SBG-Systems/sbg_ros2_driver,52,closed
SBG-Systems/sbg_ros2_driver,51,closed
SBG-Systems/sbg_ros2_driver,50,open
SBG-Systems/sbg_ros2_driver,48,open
SBG-Systems/sbg_ros2_driver,47,closed
SBG-Systems/sbg_ros2_driver,40,closed
SBG-Systems/sbg_ros2_driver,33,closed
SBG-Systems/sbg_ros2_driver,30,closed
SBG-Systems/sbg_ros2_driver,27,closed
SBG-Systems/sbg_ros2_driver,24,closed
SBG-Systems/sbg_ros2_driver,23,closed
SBG-Systems/sbg_ros2_driver,22,closed
SBG-Systems/sbg_ros2_driver,21,closed
SBG-Systems/sbg_ros2_driver,20,closed
SBG-Systems/sbg_ros2_driver,14,closed
SBG-Systems/sbg_ros2_driver,34,closed
SBG-Systems/sbg_ros2_driver,10,closed
SBG-Systems/sbg_ros2_driver,8,closed
SBG-Systems/sbg_ros2_driver,6,closed
SBG-Systems/sbg_ros2_driver,5,closed
SBG-Systems/sbg_ros2_driver,35,closed
SBG-Systems/sbg_ros2_driver,4,closed
SBG-Systems/sbg_ros2_driver,3,closed
SBG-Systems/sbg_ros2_driver,2,closed
Barry-Xu-2018/ros2_service_load_balancing,6,closed
Barry-Xu-2018/ros2_service_load_balancing,5,open
MetroRobots/ros_system_fingerprint,29,open
MetroRobots/ros_system_fingerprint,23,closed
MetroRobots/ros_system_fingerprint,22,closed
MetroRobots/ros_system_fingerprint,15,open
MetroRobots/ros_system_fingerprint,13,closed
MetroRobots/ros_system_fingerprint,5,closed
MetroRobots/ros_system_fingerprint,2,closed
namo-robotics/ros2_system_webview,2,open
namo-robotics/ros2_system_webview,1,closed
ros2/system_tests,584,open
ros2/system_tests,561,open
ros2/system_tests,559,closed
ros2/system_tests,557,closed
ros2/system_tests,517,closed
ros2/system_tests,511,open
ros2/system_tests,502,closed
ros2/system_tests,498,open
ros2/system_tests,496,open
ros2/system_tests,487,closed
ros2/system_tests,486,open
ros2/system_tests,484,closed
ros2/system_tests,477,closed
ros2/system_tests,476,open
ros2/system_tests,469,closed
ros2/system_tests,468,closed
ros2/system_tests,464,closed
ros2/system_tests,461,closed
ros2/system_tests,458,closed
ros2/system_tests,452,closed
ros2/system_tests,451,closed
ros2/system_tests,445,closed
ros2/system_tests,443,closed
ros2/system_tests,435,closed
ros2/system_tests,446,closed
ros2/system_tests,432,closed
ros2/system_tests,429,open
ros2/system_tests,424,open
ros2/system_tests,420,closed
ros2/system_tests,418,open
ros2/system_tests,417,open
ros2/system_tests,407,closed
ros2/system_tests,405,open
ros2/system_tests,404,open
ros2/system_tests,399,closed
ros2/system_tests,396,open
ros2/system_tests,365,open
ros2/system_tests,360,closed
ros2/system_tests,359,closed
ros2/system_tests,332,closed
ros2/system_tests,319,open
ros2/system_tests,318,open
ros2/system_tests,317,open
ros2/system_tests,305,closed
ros2/system_tests,291,closed
ros2/system_tests,290,closed
ros2/system_tests,282,open
ros2/system_tests,279,open
ros2/system_tests,261,open
ros2/system_tests,242,closed
ros2/system_tests,238,open
ros2/system_tests,237,open
ros2/system_tests,214,open
ros2/system_tests,212,closed
ros2/system_tests,209,open
ros2/system_tests,195,closed
ros2/system_tests,191,closed
ros2/system_tests,154,closed
ros2/system_tests,153,closed
ros2/system_tests,143,closed
ros2/system_tests,137,closed
ros2/system_tests,134,closed
ros2/system_tests,123,closed
ros2/system_tests,93,closed
ros2/system_tests,92,closed
ros2/system_tests,50,closed
ros2/system_tests,43,closed
ros2/system_tests,39,closed
ros2/system_tests,37,closed
ros2/system_tests,36,closed
ros2/system_tests,22,closed
ros2/system_tests,10,closed
ros2/system_tests,8,closed
ros2/system_tests,7,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1773,open
UniversalRobots/Universal_Robots_ROS2_Driver,1768,open
UniversalRobots/Universal_Robots_ROS2_Driver,1749,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1711,open
UniversalRobots/Universal_Robots_ROS2_Driver,1706,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1688,open
UniversalRobots/Universal_Robots_ROS2_Driver,1681,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1680,open
UniversalRobots/Universal_Robots_ROS2_Driver,1677,open
UniversalRobots/Universal_Robots_ROS2_Driver,1676,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1673,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1672,open
UniversalRobots/Universal_Robots_ROS2_Driver,1659,open
UniversalRobots/Universal_Robots_ROS2_Driver,1658,open
UniversalRobots/Universal_Robots_ROS2_Driver,1657,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1656,open
UniversalRobots/Universal_Robots_ROS2_Driver,1650,open
UniversalRobots/Universal_Robots_ROS2_Driver,1649,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1648,open
UniversalRobots/Universal_Robots_ROS2_Driver,1642,open
UniversalRobots/Universal_Robots_ROS2_Driver,1626,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1624,open
UniversalRobots/Universal_Robots_ROS2_Driver,1623,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1612,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1611,open
UniversalRobots/Universal_Robots_ROS2_Driver,1591,open
UniversalRobots/Universal_Robots_ROS2_Driver,1575,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1542,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1541,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1538,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1537,open
UniversalRobots/Universal_Robots_ROS2_Driver,1514,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1513,open
UniversalRobots/Universal_Robots_ROS2_Driver,1512,open
UniversalRobots/Universal_Robots_ROS2_Driver,1510,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1505,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1482,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1481,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1478,open
UniversalRobots/Universal_Robots_ROS2_Driver,1473,open
UniversalRobots/Universal_Robots_ROS2_Driver,1468,open
UniversalRobots/Universal_Robots_ROS2_Driver,1463,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1460,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1459,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1457,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1446,open
UniversalRobots/Universal_Robots_ROS2_Driver,1439,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1423,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1420,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1416,open
UniversalRobots/Universal_Robots_ROS2_Driver,1414,open
UniversalRobots/Universal_Robots_ROS2_Driver,1403,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1399,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1384,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1377,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1375,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1366,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1365,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1357,open
UniversalRobots/Universal_Robots_ROS2_Driver,1356,open
UniversalRobots/Universal_Robots_ROS2_Driver,1352,open
UniversalRobots/Universal_Robots_ROS2_Driver,1349,open
UniversalRobots/Universal_Robots_ROS2_Driver,1346,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1343,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1334,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1329,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1326,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1322,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1319,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1317,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1312,open
UniversalRobots/Universal_Robots_ROS2_Driver,1311,open
UniversalRobots/Universal_Robots_ROS2_Driver,1309,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1308,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1307,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1306,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1305,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1298,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1296,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1294,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1293,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1291,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1290,open
UniversalRobots/Universal_Robots_ROS2_Driver,1281,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1279,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1277,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1273,open
UniversalRobots/Universal_Robots_ROS2_Driver,1272,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1267,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1264,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1259,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1258,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1252,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1251,open
UniversalRobots/Universal_Robots_ROS2_Driver,1250,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1246,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1236,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1235,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1231,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1228,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1225,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1223,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1206,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1205,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1202,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1201,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1196,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1195,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1192,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1191,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1188,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1186,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1180,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1179,closed
UniversalRobots/Universal_Robots_ROS2_Driver,1178,closed
