repository,issue_number,issue_state,issue_title,issue_created_at,issue_closed_at,issue_author,issue_comments
ToyotaResearchInstitute/gauges2,36,open,UserWarning: Unknown distribution option: 'tests_require',2025-07-27T02:15:40Z,,Plumezz,0
ToyotaResearchInstitute/gauges2,27,closed,/ character breaks autocomplete,2024-01-11T19:07:00Z,2024-02-16T14:53:42Z,andrewbest-tri,2
ToyotaResearchInstitute/gauges2,26,closed,Steerirng Wheel widget needs to truncate values,2024-01-11T18:44:53Z,2024-01-15T12:34:36Z,andrewbest-tri,2
ToyotaResearchInstitute/gauges2,25,closed,Segfault on repeated clicks. ,2024-01-11T18:43:41Z,2024-02-16T14:54:36Z,andrewbest-tri,1
ToyotaResearchInstitute/gauges2,18,closed,Transfer repository to ToyotaReaserchInstitute organization,2023-12-13T12:14:02Z,2023-12-13T16:08:43Z,francocipollone,0
ToyotaResearchInstitute/gauges2,11,closed,Investigate crashes,2023-12-13T09:39:12Z,2024-01-03T16:51:10Z,ahcorde,1
ToyotaResearchInstitute/gauges2,9,closed,Document the repository,2023-03-31T17:26:02Z,2023-12-13T12:27:33Z,francocipollone,1
ToyotaResearchInstitute/gauges2,8,closed,Move all the helper methods used on the widgets to a single module.,2023-03-30T15:23:02Z,2024-01-03T16:51:00Z,Voldivh,1
ToyotaResearchInstitute/gauges2,6,open,Log a warning when the message goes off the range,2023-03-16T14:04:28Z,,francocipollone,0
ToyotaResearchInstitute/gauges2,5,closed,Speedometer widget being re-sizable,2023-03-16T14:00:08Z,2024-01-03T16:50:48Z,francocipollone,1
ToyotaResearchInstitute/gauges2,1,closed,[META] Create a RQT Plugin with visualization tools,2022-09-06T18:01:38Z,2023-12-13T12:27:51Z,Voldivh,0
SBG-Systems/sbg_ros2_driver,70,open,"Does GPS_Pos report location in frame of GPS antenna, or in IMU inertial frame",2026-03-24T21:41:22Z,,drk944,0
SBG-Systems/sbg_ros2_driver,68,open,Add optional RS485 configuration (SER_RS485_RX_DURING_TX) when opening serial port,2026-03-05T16:21:09Z,,CeeSBG,0
SBG-Systems/sbg_ros2_driver,66,open,Influence on `use_enu` on `/sbg/ekf_vel_body` and `/sbg/ekf_rot_accel_body`,2026-02-20T17:18:42Z,,gkueppers,0
SBG-Systems/sbg_ros2_driver,65,open,Fix incorrect ENU convention comments in SbgImuShort.msg and SbgMag.msg,2026-02-13T11:00:32Z,,michaelschleiss,0
SBG-Systems/sbg_ros2_driver,64,open,wrapAnglePi returns incorrect results for theta > pi and ±2pi,2026-02-13T09:04:41Z,,michaelschleiss,0
SBG-Systems/sbg_ros2_driver,62,closed,Bug: `convertLLAtoECEF` uses e⁴ instead of e²,2026-02-13T08:13:34Z,2026-03-04T13:47:00Z,michaelschleiss,1
SBG-Systems/sbg_ros2_driver,60,closed,Fix: month and day parameters read from wrong key in config_store.cpp,2026-02-08T17:47:56Z,2026-02-11T09:13:47Z,michaelschleiss,1
SBG-Systems/sbg_ros2_driver,58,closed,Can RTK corrections be applied when the device is connected via USB?,2025-12-19T06:38:01Z,2026-01-20T10:17:35Z,kbnh101,2
SBG-Systems/sbg_ros2_driver,57,open,Rework INS configuration management,2025-10-30T13:28:05Z,,tolesam,0
SBG-Systems/sbg_ros2_driver,56,open,Add ROS2 CI actions,2025-10-30T09:40:38Z,,tolesam,0
SBG-Systems/sbg_ros2_driver,55,open,Implement keepalive mechanism,2025-10-30T09:27:42Z,,tolesam,0
SBG-Systems/sbg_ros2_driver,54,open,Incorrect tf in GPS message,2025-10-29T08:32:15Z,,RobinBaruffa,2
SBG-Systems/sbg_ros2_driver,52,closed,GPS and sometimes Magnetometer message timestamps reported 71 minutes ahead of system time.,2025-09-17T17:08:28Z,2026-01-23T08:26:07Z,drk944,5
SBG-Systems/sbg_ros2_driver,51,closed,Can't get gps_pos type RTK_INT with Ellipse-N,2025-07-15T13:42:31Z,2025-08-28T08:17:32Z,Grimwork,1
SBG-Systems/sbg_ros2_driver,50,open,Record data for QInertia lever arm tool on ARM with sbg_ros2_driver,2025-07-15T08:16:08Z,,leonce-m,1
SBG-Systems/sbg_ros2_driver,48,open,Refactor UTM conversion to use external ROS2 module like geodesy,2025-05-13T10:14:16Z,,tolesam,1
SBG-Systems/sbg_ros2_driver,47,closed,Provide covariance wherever possible in ROS messages,2025-02-26T18:57:57Z,2025-11-03T10:47:30Z,AugusteBourgois,1
SBG-Systems/sbg_ros2_driver,40,closed,SBG ELLIPSE-D-G4A3-B1 nmea sentence problem,2024-10-31T12:18:36Z,2025-02-14T14:24:46Z,slyandsmart,5
SBG-Systems/sbg_ros2_driver,33,closed,impossible to build with package selection argument --packages-select,2024-09-27T13:08:39Z,2024-11-13T16:24:31Z,lr-sncf,1
SBG-Systems/sbg_ros2_driver,30,closed,Position message frequency not set,2024-06-01T13:52:44Z,2024-06-03T10:11:59Z,richibrics,1
SBG-Systems/sbg_ros2_driver,27,closed,"never configure leverArmX,leverArmY,leverArmZ in ConfigApplier::configureImuAlignement method",2024-05-20T12:11:05Z,2024-10-17T15:37:22Z,pierreopti,1
SBG-Systems/sbg_ros2_driver,24,closed,Add missing status flags in SbgEkfStatus.msg,2024-03-21T08:54:43Z,2024-10-17T15:50:45Z,rsiryani,0
SBG-Systems/sbg_ros2_driver,23,closed,Add support for latest sbgECom 4.0 with new logs and fields,2024-03-21T08:50:19Z,2024-10-17T15:41:47Z,rsiryani,0
SBG-Systems/sbg_ros2_driver,22,closed,Latest changes on master in develop,2024-02-09T15:13:58Z,2024-03-20T16:44:13Z,grischi,1
SBG-Systems/sbg_ros2_driver,21,closed,Create Humble or Iron Release,2024-01-20T18:48:45Z,2024-10-22T08:53:24Z,InvincibleRMC,1
SBG-Systems/sbg_ros2_driver,20,closed,Cannot change ros2 topic frequency,2024-01-17T08:37:49Z,2024-01-18T04:33:48Z,SangHunHan92,3
SBG-Systems/sbg_ros2_driver,14,closed,Possibility to migrate to colcon build?,2023-08-15T17:20:50Z,2023-08-16T08:25:05Z,nachovizzo,1
SBG-Systems/sbg_ros2_driver,34,closed,remove earth rotation and gravity,2023-06-29T19:01:51Z,2024-10-17T15:50:06Z,zoidberg77,2
SBG-Systems/sbg_ros2_driver,10,closed,time_reference configuration parameter is not applied,2023-03-22T12:18:40Z,2023-08-10T18:32:28Z,vovo-4K,1
SBG-Systems/sbg_ros2_driver,8,closed,SetDatum service,2023-01-12T14:47:58Z,2024-05-28T15:20:55Z,grischi,0
SBG-Systems/sbg_ros2_driver,6,closed,cant launch mag calibration,2022-06-10T08:25:58Z,2022-06-13T02:58:20Z,tzjZhengJie,3
SBG-Systems/sbg_ros2_driver,5,closed,Imu/odometry orientation wrong using sbg/quat output on ENU,2022-01-21T14:18:07Z,2023-08-25T13:09:24Z,tomlogan501,3
SBG-Systems/sbg_ros2_driver,35,closed,sbg_ros_descriptions for the SBG devices,2021-11-19T14:09:16Z,2025-02-14T16:29:06Z,tomlogan501,2
