repository,issue_number,issue_state,issue_title,issue_created_at,issue_closed_at,issue_author,issue_comments
carla-simulator/carla,9704,open,"When packaging CARLA on Ubuntu 20.04 + Clang 10, the following error occurs: Boost rational.hpp displays the message ""cannot use 'try' with exceptions disabled""",2026-04-29T06:05:14Z,,jiandaoshou-aidehua,1
carla-simulator/carla,9700,open,Request static assets for Carla 0.10,2026-04-28T11:47:58Z,,QWBO111,1
carla-simulator/carla,9695,open,Custom Vehicle Model Import Failure,2026-04-25T16:51:29Z,,gokcerSnmzck,5
carla-simulator/carla,9693,open,getting (301) Moved Permanently Redirect while getting UnrealEngine patch file,2026-04-25T15:25:39Z,,YousefSedik,0
carla-simulator/carla,9691,open,Left-handed traffic (LHT) is not implemented in the loaded town,2026-04-23T11:42:10Z,,itaykrisher,0
carla-simulator/carla,9688,open,UnrealTraceServer process causes build to stall,2026-04-22T16:44:44Z,,qhaas,0
carla-simulator/carla,9685,open,EnvironmentObject Id link to instance segmentation image tags,2026-04-17T12:55:21Z,,waleed-abu-laban,0
carla-simulator/carla,9684,closed,Biker animation not working in CARLA 0.10.0 ue5,2026-04-17T10:50:50Z,2026-04-17T11:46:11Z,Lungooo,1
carla-simulator/carla,9683,closed,EnvironmentObject Id link to instance segmentation map tags,2026-04-17T09:52:24Z,2026-04-17T10:20:25Z,waleed-abu-laban,1
carla-simulator/carla,9680,open,Apply UE 5.5.4 hotfix patch to CARLA's Unreal Engine fork,2026-04-15T04:27:51Z,,youtalk,3
carla-simulator/carla,9679,closed,"Can I use Carla to make a racing game to run on Steam Deck, and publish it to Steam?",2026-04-15T03:28:37Z,2026-04-16T06:15:54Z,nwy140,1
carla-simulator/carla,9677,closed,"ComputeEdgesForLanemark always applies extra_lane_width, shifting solid lane markings",2026-04-14T18:43:28Z,2026-04-16T06:18:22Z,youtalk,0
carla-simulator/carla,9675,closed,RViz2 intermittent segfault on shutdown when using run_rviz.sh,2026-04-14T16:08:18Z,2026-04-16T15:20:03Z,LuisPovedaCano,2
carla-simulator/carla,9674,closed,CycloneDDS ROS2 Jazzy Warnings,2026-04-14T16:03:49Z,2026-04-16T15:20:22Z,LuisPovedaCano,4
carla-simulator/carla,9673,closed,CycloneDDS bad performance,2026-04-14T15:56:44Z,2026-04-14T18:41:42Z,LuisPovedaCano,2
carla-simulator/carla,9668,closed,"ninja: error: '/home/tami/carla/Build/fast-dds-install/lib/libfastrtps.a', needed by 'LibCarla/cmake/test/libcarla_test_server_release', missing and no known rule to make it",2026-04-13T03:18:04Z,2026-04-14T07:37:14Z,zycwow,2
carla-simulator/carla,9667,open,NVIDIA NuRec tutorial is broken,2026-04-12T08:06:19Z,,BaderTim,2
carla-simulator/carla,9664,open,LHF is not working,2026-04-09T12:17:18Z,,hacked-bd-vuw,0
carla-simulator/carla,9648,closed,Missing CARLA Content when building CarlaUE5 on Windows11,2026-04-07T10:34:46Z,2026-04-07T14:08:00Z,mfuu,1
carla-simulator/carla,9646,open,Semantic lidar problem in UE5 verison of CARLA,2026-04-06T12:46:37Z,,Bestdriver411,0
carla-simulator/carla,9642,closed,Unable to create a fog weather in 0.10.0 version,2026-04-02T12:43:40Z,2026-04-02T15:22:02Z,Bestdriver411,2
carla-simulator/carla,9635,open,Port ue4-dev features and fixes to ue5-dev (tracking issue),2026-04-02T00:31:05Z,,youtalk,4
carla-simulator/carla,9634,open,"Port ue4-dev misc improvements to ue5-dev (Category 9: OpenDrive, Traffic, Python)",2026-04-02T00:30:48Z,,youtalk,0
carla-simulator/carla,9633,open,Port ue4-dev left-hand traffic support to ue5-dev (Category 8: LHT),2026-04-02T00:30:36Z,,youtalk,0
carla-simulator/carla,9632,open,Port ue4-dev segmentation fixes to ue5-dev (Category 7: Segmentation),2026-04-02T00:30:32Z,,youtalk,0
carla-simulator/carla,9631,open,Port ue4-dev new sensors to ue5-dev (Category 6: Sensors),2026-04-02T00:30:26Z,,youtalk,0
carla-simulator/carla,9630,open,Port ue4-dev vehicle/physics/control API to ue5-dev (Category 5: Vehicle API),2026-04-02T00:30:17Z,,youtalk,0
carla-simulator/carla,9629,open,Port ue4-dev TrafficManager improvements to ue5-dev (Category 4: TM),2026-04-02T00:30:06Z,,youtalk,0
carla-simulator/carla,9628,open,Port ue4-dev recorder/replay features to ue5-dev (Category 3: Recorder),2026-04-02T00:30:02Z,,youtalk,0
carla-simulator/carla,9627,closed,Port ue4-dev ROS2 enhancements to ue5-dev (Category 2: ROS2),2026-04-02T00:29:52Z,2026-04-07T21:30:40Z,youtalk,1
carla-simulator/carla,9626,closed,bug(NaniteBuilder): ClusterDAG assertion crash due to int8 overflow in ExternalEdges (UE 5.5.0),2026-04-01T22:21:59Z,2026-04-09T14:39:41Z,youtalk,3
carla-simulator/carla,9624,closed,sensor bugs of UE5-dev version,2026-04-01T08:36:36Z,2026-04-02T12:48:25Z,Bestdriver411,2
carla-simulator/carla,9616,closed,Missing CARLA content when building CarlaUE5 on Ubuntu (CMake Error: Missing CARLA content) cann't download the git lfs,2026-03-29T14:21:02Z,2026-04-13T11:43:07Z,zaid-damag,2
carla-simulator/carla,9615,closed,Map Mine_01 Material lost in UE5-dev version,2026-03-29T06:21:59Z,2026-04-01T08:35:03Z,Bestdriver411,3
