repository,pr_number,pr_state,pr_title,pr_created_at,pr_closed_at,pr_merged_at,pr_author,pr_comments
carla-simulator/carla,9703,open,macOS native build support for Apple Silicon added (UE5),2026-04-28T22:41:00Z,,,im-hashim,
carla-simulator/carla,9702,open,"feat(render): [3/3] sensor pipeline, per-camera RT toggle, ini-first quality tiers",2026-04-28T21:23:13Z,,,JesusAnaya,
carla-simulator/carla,9701,open,Semantic segmentation color palette fix,2026-04-28T15:30:04Z,,,Udit0034,
carla-simulator/carla,9699,closed,Document map inclusion in packaged Carla version,2026-04-28T11:44:48Z,2026-04-28T13:09:58Z,2026-04-28T13:09:58Z,oliver-schumann,
carla-simulator/carla,9698,open,"refactor(uobject): [2/3] TObjectPtr migration, factory mesh caches, async heightmap, soft-ref catalog",2026-04-28T09:04:14Z,,,JesusAnaya,
carla-simulator/carla,9697,open,"fix(LibCarla,plugin): [1/3] pre-existing UE4-era bug fixes",2026-04-28T06:59:11Z,,,JesusAnaya,
carla-simulator/carla,9696,closed,Document map inclusion in packaged Carla version,2026-04-27T14:39:47Z,2026-04-28T11:45:26Z,,oliver-schumann,
carla-simulator/carla,9694,open,"Introduce CARLA Studio Qt GUI, Qt/C++ examples, docs, LibCarla Python decoupling and fixes #6091 #9554 ",2026-04-25T16:38:08Z,,,im-hashim,
carla-simulator/carla,9692,closed,"refactor(BuildTools, Carla): rename ROS2 middleware CLI flag --dds-middleware= to --rmw=",2026-04-24T07:49:16Z,2026-04-24T08:04:16Z,2026-04-24T08:04:16Z,JesusAnaya,
carla-simulator/carla,9690,closed,Add support for CMake 4.x,2026-04-23T11:36:20Z,2026-04-24T06:52:42Z,2026-04-24T06:52:42Z,LuisPovedaCano,
carla-simulator/carla,9689,closed,Ubuntu 24 support for the UE4 build pipeline,2026-04-23T11:26:41Z,2026-04-24T07:49:03Z,2026-04-24T07:49:03Z,LuisPovedaCano,
carla-simulator/carla,9687,closed,feat(LibCarla): enable LibCarla unit-test suite on ue5-dev and run it in CI,2026-04-20T09:44:24Z,2026-04-23T09:09:59Z,2026-04-23T09:09:59Z,JesusAnaya,
carla-simulator/carla,9682,closed,first commid - adding CAD files,2026-04-16T00:30:49Z,2026-04-16T00:31:09Z,,arthurbarbosadornelassilva,
carla-simulator/carla,9681,closed,fix(LibCarla/ros2): add REP-2011 type hashes and shared FastDDS participant for Jazzy compatibility,2026-04-15T05:56:42Z,2026-04-16T15:19:28Z,2026-04-16T15:19:28Z,JesusAnaya,
carla-simulator/carla,9678,closed,fix(road): resolve Digital Twin tool crashes and tree misplacement (#9565),2026-04-14T20:50:26Z,2026-04-20T17:14:29Z,2026-04-20T17:14:29Z,im-hashim,
carla-simulator/carla,9676,closed,Update build links for Linux and Windows in introduction,2026-04-14T16:28:33Z,2026-04-15T08:47:30Z,2026-04-15T08:47:30Z,nilsfrobel,
carla-simulator/carla,9672,closed,Update ROS2 Example,2026-04-14T14:50:33Z,2026-04-17T13:32:02Z,2026-04-17T13:32:02Z,LuisPovedaCano,
carla-simulator/carla,9671,closed,Mario/town c manual control,2026-04-14T14:07:07Z,2026-04-15T06:27:57Z,2026-04-15T06:27:57Z,gsmario,
carla-simulator/carla,9670,closed,fix(PythonAPI/build): add NumPy 2 compatibility via Boost 1.90 upgrade ,2026-04-14T06:54:48Z,2026-04-17T14:37:32Z,2026-04-17T14:37:32Z,JesusAnaya,
carla-simulator/carla,9669,closed,Fix FastDDS test dependencies not guarded by --ros2 flag on Linux and Windows,2026-04-13T12:54:12Z,2026-04-14T06:34:02Z,2026-04-14T06:34:02Z,LuisPovedaCano,
carla-simulator/carla,9666,closed,fix(LibCarla/cmake): install ros2/dds/ headers in server cmake for Windows builds,2026-04-10T01:26:28Z,2026-04-10T08:20:58Z,2026-04-10T08:20:58Z,JesusAnaya,
carla-simulator/carla,9665,closed,fix(BuildTools): forward --ros2 and --dds-middleware to UE4 editor command line,2026-04-09T18:16:46Z,2026-04-14T06:35:06Z,2026-04-14T06:35:06Z,JesusAnaya,
carla-simulator/carla,9663,closed,refactor: Add type annotations to CARLA Python API,2026-04-08T09:30:00Z,2026-04-08T09:52:16Z,,vlordier,
carla-simulator/carla,9662,closed,chore: Add Shell and YAML linting infrastructure,2026-04-08T09:16:48Z,2026-04-08T09:19:50Z,,vlordier,
carla-simulator/carla,9661,closed,chore: Add C++ linting infrastructure,2026-04-08T09:16:29Z,2026-04-08T09:18:33Z,,vlordier,
carla-simulator/carla,9660,closed,chore: Add Python linting infrastructure,2026-04-08T09:16:09Z,2026-04-08T09:18:38Z,,vlordier,
carla-simulator/carla,9659,closed,Comprehensive Code Quality & Linting Infrastructure,2026-04-08T08:25:53Z,2026-04-08T08:37:39Z,,vlordier,
carla-simulator/carla,9658,closed,fix(ros2): replace non-standard M_PIf32 with portable alternative,2026-04-07T23:41:15Z,2026-04-09T09:00:41Z,2026-04-09T09:00:41Z,youtalk,
carla-simulator/carla,9657,closed,fix(LibCarla): use double literal in Lane::GetWidth return,2026-04-07T23:40:43Z,2026-04-08T06:39:01Z,2026-04-08T06:39:01Z,youtalk,
carla-simulator/carla,9656,closed,fix(Unreal): remove duplicate include in BoundingBoxCalculator,2026-04-07T23:34:50Z,2026-04-08T10:41:26Z,2026-04-08T10:41:26Z,youtalk,
